"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","outcome_type","outcome_domain","gambling_outcome","instrument","mean_arm1","sd_arm1","n_arm1","mean_arm2","sd_arm2","n_arm2","md_arm1varm2","common_sd_arm1vsarm2","year","time_weeks","time","format","format_details","country","mean_age","percent_women","sg","ac","ba","itt","rob","full_ref","doi","abstract","title","url","journal","id_study","culture"
"27","Dowling, 2007","Dowling, 2007",0.876604540008169,0.349802788355625,"cbt","wl","Australia","H","grp","wl","msd","gambling","frequency","frequency",0.9,0.7,15,2,1.5,20,NA,NA,2007,12,"post","grp","grp","au",43.6,1,0,0,0,1,1,"Dowling, N., Smith, D., & Thomas, T. (2007). A comparison of individual and group cognitive-behavioural treatment for female pathological gambling. Behaviour Research and Therapy, 45(9), 2192-2202.","10.1016/j.brat.2006.11.003","The current study aimed to determine the differential efficacy of a cognitive-behavioural treatment program for female pathological gamblers delivered in individual and group format. Fifty-six female pathological gamblers with electronic gaming machine gambling problems were randomly assigned to the control (waiting list) group or one of the treatment groups (individual or group treatment). Treatment comprised a 12-session program including financial limit setting, alternative activity planning, cognitive correction, problem solving, communication training, relapse prevention, and imaginal desensitisation. Treatment outcome was evaluated with conceptually related measures within the areas of gambling behaviour and psychological functioning. While individual and group treatment formats generally produced comparable outcomes in terms of gambling behaviour and psychological functioning, group treatment failed to produce superior outcomes to the control group in relation to several measures of psychological functioning. Moreover, by the completion of the six-month follow-up, 92% of the gamblers allocated to individual treatment compared with 60% allocated to group treatment no longer satisfied the diagnostic criteria for pathological gambling. These findings suggest that some caution should be employed when delivering cognitive-behavioural treatment in a group format until further research is conducted to establish its efficacy.","A comparison of individual and group cognitive-behavioural treatment for female pathological gambling","https://www.sciencedirect.com/science/article/pii/S0005796706002671","Behaviour Research and Therapy","Dowling, 2007","A - Western"
"28","Harris, 2016","Harris, 2016",1.06590399830218,0.387361526144519,"cbt","wl","Canada","H",NA,NA,"msd","gambling","frequency","frequency",4.43,4.8,15,10.71,6.58,14,NA,NA,2016,8,"post","grp","grp","can",34.2,0.47,0,0,0,1,1,"Harris, N., & Mazmanian, D. (2016). Cognitive behavioural group therapy for problem gamblers who gamble over the internet: A controlled study. Journal of Gambling Issues, 33, 170-188.","10.4309/jgi.2016.33.10","Several studies have found higher rates of problem gambling among Internet gamblers than non-Internet gamblers. Because of easy access and convenience, along with other gaming characteristics, many researchers in the field have advanced the argument that Internet gambling is potentially more addictive and problematic than land-based gambling activities. However, research examining the efficacy of treatments for problem gamblers who gamble over the Internet has not yet been conducted. The purpose of the present study was to examine the efficacy of group cognitive behavioural therapy for self-identified problem Internet gamblers. (n = 16) or wait list (delayed treatment) comparison group (n = 16). Results indicated that the treatment was efficacious in improving three of the four dependent variables from pre- to post-test/treatment: number of DSM-IV criteria for pathological gambling endorsed, perception of control over gambling, and number of sessions gambled. No significant pre- to post-test/treatment difference was found between groups on desire to gamble. Groups were combined to examine treatment outcome over time, with results showing significant pre- to post-treatment and pre- to three-month post-treatment improvement for all four dependent variables.","Cognitive behavioural group therapy for problem gamblers who gamble over the internet: A controlled study","https://cdspress.ca/wp-content/uploads/2022/09/Nicholas-Harris-Dwight-Mazmanian.pdf","Journal of Gambling Issues","Harris, 2016","A - Western"
"29","Hodgins, 2001","Hodgins, 2001",0.273060898521179,0.246531976983723,"cbt","wl","Canada","H","mi","wl","msd","gambling","frequency","frequency",4.3,4.9,31,6,7.1,34,NA,NA,2001,12,"post","ind","ush","can",46,0.52,0,0,0,0,0,"Hodgins, D. C., Currie, S. R., & el-Guebaly, N. (2001). Motivational enhancement and self-help treatments for problem gambling. Journal of Consulting and Clinical Psychology, 69(1), 50-57.","10.1037/0022-006X.69.1.50","Two brief treatments for problem gambling were compared with a waiting-list control in a randomized trial. Eighty-four percent of participants (N = 102) reported a significant reduction in gambling over a 12-month follow-up period. Participants who received a motivational enhancement telephone intervention and a self-help workbook in the mail, but not those who received the workbook only, had better outcomes than participants in a 1-month waiting-list control. Participants who received the motivational interview and workbook showed better outcomes than those receiving the workbook only at 3-and 6-month follow-ups. At the 12-month follow-up, the advantage of the motivational interview and workbook condition was found only for participants with less severe gambling problems. Overall, these results support the effectiveness of a brief telephone and mail-based treatment for problem gambling.","Motivational enhancement and self-help treatments for problem gambling.","https://psycnet.apa.org/record/2001-14541-006","Journal of Consulting and Clinical Psychology","Hodgins, 2001","A - Western"
"30","Hodgins, 2001","Hodgins, 2001",0.203298195659059,0.242173256970371,"cbt","wl","Canada","H","wb","wl","msd","gambling","frequency","frequency",4.7,5.4,33,6,7.1,34,NA,NA,2001,12,"post","ind","ush","can",46,0.52,0,0,0,0,0,"Hodgins, D. C., Currie, S. R., & el-Guebaly, N. (2001). Motivational enhancement and self-help treatments for problem gambling. Journal of Consulting and Clinical Psychology, 69(1), 50-57.","10.1037/0022-006X.69.1.50","Two brief treatments for problem gambling were compared with a waiting-list control in a randomized trial. Eighty-four percent of participants (N = 102) reported a significant reduction in gambling over a 12-month follow-up period. Participants who received a motivational enhancement telephone intervention and a self-help workbook in the mail, but not those who received the workbook only, had better outcomes than participants in a 1-month waiting-list control. Participants who received the motivational interview and workbook showed better outcomes than those receiving the workbook only at 3-and 6-month follow-ups. At the 12-month follow-up, the advantage of the motivational interview and workbook condition was found only for participants with less severe gambling problems. Overall, these results support the effectiveness of a brief telephone and mail-based treatment for problem gambling.","Motivational enhancement and self-help treatments for problem gambling.","https://psycnet.apa.org/record/2001-14541-006","Journal of Consulting and Clinical Psychology","Hodgins, 2001","A - Western"
"31","LaBrie, 2012","LaBrie, 2012",0.342479111497927,0.189926112216895,"cbt","wl","USA","H","nv-gt","wl","msd","gambling","frequency","frequency",9,7.41,55,11.8,8.76,56,NA,NA,2012,4,"post","ind","gsh","us",43.5,0.5,1,0,0,0,1,"LaBrie, R. A., Peller, A. J., LaPlante, D. A., Bernhard, B., Harper, A., Schrier, T., & Shaffer, H. J. (2012). A brief self-help toolkit intervention for gambling problems: a randomized multisite trial. American Journal of Orthopsychiatry, 82(2), 278-289.","10.1111/j.1939-0025.2012.01157.x","Two studies conducted in Massachusetts and Nevada evaluated the efficacy of a self‐help toolkit for problem gambling. Individuals concerned about gambling‐related problems, in response to public notices and newspaper advertisements, volunteered for a randomized trial of the self‐help toolkit, Your First Step to Change: Gambling. Participants were randomly assigned to 1 of 3 conditions: (a) a printed toolkit, (b) the toolkit and a brief guide to the toolkit’s content, or (c) assignment to a wait‐list condition. Participants, 145 in Massachusetts and 170 in Nevada, reported their gambling behavior, beliefs and attitudes about chance, and recent and planned help seeking at baseline, 88% at 1 month later, and 79% at 3 months later. Findings for the complete and intent‐to‐treat analyses at both sites indicated that participants significantly improved. At the end of the study period, significantly more toolkit recipients than control group participants reported recently abstaining from gambling. Minimally invasive, self‐directed resources like this self‐help toolkit can assist remediating gambling‐related problems among gamblers who do not engage in formal treatment. ","A brief self-help toolkit intervention for gambling problems: A randomized multisite trial.","https://psycnet.apa.org/record/2012-10324-014","American Journal of Orthopsychiatry","LaBrie, 2012","A - Western"
"32","LaBrie, 2012","LaBrie, 2012",0.0840158755575795,0.185406230811765,"cbt","wl","USA","H","nv-t","wl","msd","gambling","frequency","frequency",11.1,7.79,59,11.8,8.76,56,NA,NA,2012,4,"post","ind","ush","us",44,0.47,1,0,0,0,1,"LaBrie, R. A., Peller, A. J., LaPlante, D. A., Bernhard, B., Harper, A., Schrier, T., & Shaffer, H. J. (2012). A brief self-help toolkit intervention for gambling problems: a randomized multisite trial. American Journal of Orthopsychiatry, 82(2), 278-289.","10.1111/j.1939-0025.2012.01157.x","Two studies conducted in Massachusetts and Nevada evaluated the efficacy of a self‐help toolkit for problem gambling. Individuals concerned about gambling‐related problems, in response to public notices and newspaper advertisements, volunteered for a randomized trial of the self‐help toolkit, Your First Step to Change: Gambling. Participants were randomly assigned to 1 of 3 conditions: (a) a printed toolkit, (b) the toolkit and a brief guide to the toolkit’s content, or (c) assignment to a wait‐list condition. Participants, 145 in Massachusetts and 170 in Nevada, reported their gambling behavior, beliefs and attitudes about chance, and recent and planned help seeking at baseline, 88% at 1 month later, and 79% at 3 months later. Findings for the complete and intent‐to‐treat analyses at both sites indicated that participants significantly improved. At the end of the study period, significantly more toolkit recipients than control group participants reported recently abstaining from gambling. Minimally invasive, self‐directed resources like this self‐help toolkit can assist remediating gambling‐related problems among gamblers who do not engage in formal treatment. ","A brief self-help toolkit intervention for gambling problems: A randomized multisite trial.","https://psycnet.apa.org/record/2012-10324-014","American Journal of Orthopsychiatry","LaBrie, 2012","A - Western"
"33","LaBrie, 2012","LaBrie, 2012",0.280586579654376,0.203676266744295,"cbt","wl","USA","H","ma-gt","wl","msd","gambling","frequency","frequency",14.2,10.2,50,17.1,10.31,46,NA,NA,2012,4,"post","ind","gsh","us",48.4,0.33,1,0,0,0,1,"LaBrie, R. A., Peller, A. J., LaPlante, D. A., Bernhard, B., Harper, A., Schrier, T., & Shaffer, H. J. (2012). A brief self-help toolkit intervention for gambling problems: a randomized multisite trial. American Journal of Orthopsychiatry, 82(2), 278-289.","10.1111/j.1939-0025.2012.01157.x","Two studies conducted in Massachusetts and Nevada evaluated the efficacy of a self‐help toolkit for problem gambling. Individuals concerned about gambling‐related problems, in response to public notices and newspaper advertisements, volunteered for a randomized trial of the self‐help toolkit, Your First Step to Change: Gambling. Participants were randomly assigned to 1 of 3 conditions: (a) a printed toolkit, (b) the toolkit and a brief guide to the toolkit’s content, or (c) assignment to a wait‐list condition. Participants, 145 in Massachusetts and 170 in Nevada, reported their gambling behavior, beliefs and attitudes about chance, and recent and planned help seeking at baseline, 88% at 1 month later, and 79% at 3 months later. Findings for the complete and intent‐to‐treat analyses at both sites indicated that participants significantly improved. At the end of the study period, significantly more toolkit recipients than control group participants reported recently abstaining from gambling. Minimally invasive, self‐directed resources like this self‐help toolkit can assist remediating gambling‐related problems among gamblers who do not engage in formal treatment. ","A brief self-help toolkit intervention for gambling problems: A randomized multisite trial.","https://psycnet.apa.org/record/2012-10324-014","American Journal of Orthopsychiatry","LaBrie, 2012","A - Western"
"34","LaBrie, 2012","LaBrie, 2012",0.126647173795788,0.203845138942673,"cbt","wl","USA","H","ma-t","wl","msd","gambling","frequency","frequency",15.8,10.06,49,17.1,10.31,46,NA,NA,2012,4,"post","ind","ush","us",49,0.32,1,0,0,0,1,"LaBrie, R. A., Peller, A. J., LaPlante, D. A., Bernhard, B., Harper, A., Schrier, T., & Shaffer, H. J. (2012). A brief self-help toolkit intervention for gambling problems: a randomized multisite trial. American Journal of Orthopsychiatry, 82(2), 278-289.","10.1111/j.1939-0025.2012.01157.x","Two studies conducted in Massachusetts and Nevada evaluated the efficacy of a self‐help toolkit for problem gambling. Individuals concerned about gambling‐related problems, in response to public notices and newspaper advertisements, volunteered for a randomized trial of the self‐help toolkit, Your First Step to Change: Gambling. Participants were randomly assigned to 1 of 3 conditions: (a) a printed toolkit, (b) the toolkit and a brief guide to the toolkit’s content, or (c) assignment to a wait‐list condition. Participants, 145 in Massachusetts and 170 in Nevada, reported their gambling behavior, beliefs and attitudes about chance, and recent and planned help seeking at baseline, 88% at 1 month later, and 79% at 3 months later. Findings for the complete and intent‐to‐treat analyses at both sites indicated that participants significantly improved. At the end of the study period, significantly more toolkit recipients than control group participants reported recently abstaining from gambling. Minimally invasive, self‐directed resources like this self‐help toolkit can assist remediating gambling‐related problems among gamblers who do not engage in formal treatment. ","A brief self-help toolkit intervention for gambling problems: A randomized multisite trial.","https://psycnet.apa.org/record/2012-10324-014","American Journal of Orthopsychiatry","LaBrie, 2012","A - Western"
"35","Ladouceur, 2001","Ladouceur, 2001",0.597761041036765,0.253620498302659,"cbt","wl","Canada","H",NA,NA,"msd","gambling","frequency","frequency",0.5,1.4,35,1.8,2.8,29,NA,NA,2001,12,"post","ind","ind","can",42,0.17,0,0,0,0,0,"Ladouceur, R., Sylvain, C., Boutin, C., Lachance, S., Doucet, C., Leblond, J., & Jacques, C. (2001). Cognitive treatment of pathological gambling. The Journal of Nervous and Mental Disease, 189(11), 774-780.","10.1097/00005053-200111000-00007","This study evaluated the efficacy of a cognitive treatment package for pathological gambling. Sixty-six gamblers, meeting DSM-IV criteria for pathological gambling, were randomly assigned to treatment or wait-list control conditions. Cognitive correction techniques were used first to target gamblers' erroneous perceptions about randomness and then to address issues of relapse prevention. The dependent measures used were the South Oaks Gambling Screen, the number of DSM-IV criteria for pathological gambling met by participants, as well as gamblers' perception of control, frequency of gambling, perceived self-efficacy, and desire to gamble. Posttest results indicated highly significant changes in the treatment group on all outcome measures, and analysis of data from 6- and 12-month follow-ups revealed maintenance of therapeutic gains. Recommendations for clinical interventions are discussed, focusing on the cognitive correction of erroneous perceptions toward the notion of randomness.","Cognitive treatment of pathological gambling","https://journals.lww.com/jonmd/Fulltext/2001/11000/Cognitive_Treatment_of_Pathological_Gambling.7.aspx","The Journal of Nervous and Mental Disease","Ladouceur, 2001","A - Western"
"36","Marceaux, 2011","Marceaux, 2011",1.38825543376814,0.487559192428892,"cbt","wl","USA","H",NA,NA,"msd","gambling","frequency","frequency",0.67,1.29,15,3.56,3.08,7,NA,NA,2011,8,"post","grp","grp","us",49,0.62,0,0,0,0,0,"Marceaux, J. C., & Melville, C. L. (2011). Twelve-step facilitated versus mapping-enhanced cognitive-behavioral therapy for pathological gambling: A controlled study. Journal of Gambling Studies, 27(1), 171-190.","10.1007/s10899-010-9196-y","This study examined the efficacy of two group treatments for pathological gambling, a node-link mapping-enhanced cognitive-behavioral group therapy (CBGT-mapping) and twelve-step facilitated (TSF) group treatment. Forty-nine participants meeting criteria for pathological gambling were recruited from local newspaper advertisements. These participants were randomly assigned to one of three conditions: TSF (n = 11), CBGT-mapping (n = 18), and Wait-List control (n = 9); 11 refused treatment prior to randomization. Outcome measures included number of DSM-IV criteria met, perception of control/self-efficacy, desire to gamble, and frequency of gambling episodes. Analyses revealed a significant treatment group × time interaction (η²partial = .39). Specifically, the group treatments resulted in significant improvements in the dependent measures, while the Wait-List group remained relatively stable. Overall, CBGT-mapping and TSF had no significant differences on any outcome measure at follow-up assessments. Analysis of post-treatment and 6-month follow-up reveal a significant improvement in gambling outcomes (i.e., fewer DSM-IV criteria met, greater self-efficacy, and fewer gambling episodes (η²partial = .35), with treatment gains maintained at 6 months. These results are consistent with previous research for group treatment for pathological gambling and provide support for the utility of TSF and a mapping-based CBT therapy as viable intervention for pathological gambling.","Twelve-Step Facilitated Versus Mapping-Enhanced Cognitive-Behavioral Therapy for Pathological Gambling: A Controlled Study","https://link.springer.com/article/10.1007/s10899-010-9196-y","Journal of Gambling Studies","Marceaux, 2011","A - Western"
"37","Oei, 2010","Oei, 2010",1.78947822863663,0.293058082464504,"cbt","wl","Australia","H","ind","wl","msd","gambling","frequency","frequency",2.75,1.84,37,6.64,2.5,28,NA,NA,2010,6,"post","ind","ind","au",43.4,0.41,1,0,0,0,1,"Oei, T. P., Raylu, N., & Casey, L. M. (2010). Effectiveness of group and individual formats of a combined motivational interviewing and cognitive behavioral treatment program for problem gambling: A randomized controlled trial. Behavioural and Cognitive Psychotherapy, 38(2), 233-238.","10.1017/S1352465809990701","Background: The study aimed to assess the effectiveness of group and individual formats of a combined motivational interviewing and cognitive behavioral treatment (CBT) program for problem gamblers (PGs) using a randomized controlled design. Method: One hundred and two PGs were randomly assigned to individual or group CBT conditions. Twenty-eight of these participants were randomly allocated to a 6-week waitlist control condition prior to receiving the designated treatment. Results: At post-treatment, there were significant improvements in all dependent variables (frequency and amount gambled, gambling urges, gambling cognitions, negative psychological states, and life satisfaction) for both the treatment conditions but not for the waitlist condition. Individuals that completed the individual (compared to group) treatment condition generally had higher effect sizes for gambling correlates. Therapeutic gains for gambling correlates were generally maintained at 6-month follow-up. Conclusions: A combined motivational interviewing and CBT program applied in group or individual format can improve PG behaviors, as well as gambling correlates.","Effectiveness of Group and Individual Formats of a Combined Motivational Interviewing and Cognitive Behavioral Treatment Program for Problem Gambling: A Randomized Controlled Trial","https://www.cambridge.org/core/journals/behavioural-and-cognitive-psychotherapy/article/abs/effectiveness-of-group-and-individual-formats-of-a-combined-motivational-interviewing-and-cognitive-behavioral-treatment-program-for-problem-gambling-a-randomized-controlled-trial/2385704CA941CA8A83223DCE2EE66B40","Behavioural and Cognitive Psychotherapy","Oei, 2010","A - Western"
"38","Oei, 2010","Oei, 2010",1.59617509574113,0.284339149692352,"cbt","wl","Australia","H","grp","wl","msd","gambling","frequency","frequency",2.24,2.88,37,6.64,2.5,28,NA,NA,2010,6,"post","grp","grp","au",46.4,0.41,1,0,0,0,1,"Oei, T. P., Raylu, N., & Casey, L. M. (2010). Effectiveness of group and individual formats of a combined motivational interviewing and cognitive behavioral treatment program for problem gambling: A randomized controlled trial. Behavioural and Cognitive Psychotherapy, 38(2), 233-238.","10.1017/S1352465809990701","Background: The study aimed to assess the effectiveness of group and individual formats of a combined motivational interviewing and cognitive behavioral treatment (CBT) program for problem gamblers (PGs) using a randomized controlled design. Method: One hundred and two PGs were randomly assigned to individual or group CBT conditions. Twenty-eight of these participants were randomly allocated to a 6-week waitlist control condition prior to receiving the designated treatment. Results: At post-treatment, there were significant improvements in all dependent variables (frequency and amount gambled, gambling urges, gambling cognitions, negative psychological states, and life satisfaction) for both the treatment conditions but not for the waitlist condition. Individuals that completed the individual (compared to group) treatment condition generally had higher effect sizes for gambling correlates. Therapeutic gains for gambling correlates were generally maintained at 6-month follow-up. Conclusions: A combined motivational interviewing and CBT program applied in group or individual format can improve PG behaviors, as well as gambling correlates.","Effectiveness of Group and Individual Formats of a Combined Motivational Interviewing and Cognitive Behavioral Treatment Program for Problem Gambling: A Randomized Controlled Trial","https://www.cambridge.org/core/journals/behavioural-and-cognitive-psychotherapy/article/abs/effectiveness-of-group-and-individual-formats-of-a-combined-motivational-interviewing-and-cognitive-behavioral-treatment-program-for-problem-gambling-a-randomized-controlled-trial/2385704CA941CA8A83223DCE2EE66B40","Behavioural and Cognitive Psychotherapy","Oei, 2010","A - Western"
"39","Oei, 2018","Oei, 2018",1.23576704526377,0.29411104008253,"cbt","wl","Australia","H",NA,NA,"msd","gambling","frequency","frequency",2.61,2.04,23,5.16,2.03,32,NA,NA,2018,7,"post","ind","ush","au",49.4,0.51,0,0,0,0,0,"Oei, T. P. S., Raylu, N., & Lai, W. W. (2018). Effectiveness of a self help cognitive behavioural treatment program for problem gamblers: a randomised controlled trial. Journal of Gambling Studies, 34(2), 581-595.","10.1007/s10899-017-9723-1","The study aimed to strengthen the scarce literature on self-help treatments for Problem Gambling (PG) by comparing the effectiveness of a Self-Help Cognitive Behavioral Treatment (SHCBT) program (n = 23) with a 6-week Waitlist condition (n = 32) in problem gamblers. Participants were community volunteers with gambling problems and were randomly allocated to the Waitlist and treatment conditions. Results showed significant improvements at post-treatment in gambling behaviors including frequency of gambling, average amount gambled per day and PG symptoms as well as a number of gambling correlates including psychological states (e.g., depression, anxiety and stress), gambling cognitions, gambling urges, gambling related self-efficacy, satisfaction with life, and quality of life among those who completed the SHCBT program, when compared with the waitlist condition. The effect size (partial η 2) ranged from .25 to .57 for all assessed outcomes that showed significant improvement from pre- to post-treatment. It was concluded that a self-help CBT program can be beneficial for treating community problem gamblers.","Effectiveness of a Self Help Cognitive Behavioural Treatment Program for Problem Gamblers: A Randomised Controlled Trial","https://link.springer.com/article/10.1007/s10899-017-9723-1","Journal of Gambling Studies","Oei, 2018","A - Western"
"40","Petry, 2006","Petry, 2006",0.420713128985457,0.182927804633283,"cbt","cau","USA","H","f2f","cau","msd","gambling","frequency","frequency",4.5,7.1,70,8,9.6,53,NA,NA,2006,8,"post","ind","ind","us",45.2,0.46,1,0,0,1,2,"Petry, N. M., Ammerman, Y., Bohl, J., Doersch, A., Gay, H., Kadden, R., ... & Steinberg, K. (2006). Cognitive-behavioral therapy for pathological gamblers. Journal of Consulting and Clinical Psychology, 74(3), 555-567.","10.1037/0022-006X.74.3.555","Few studies have evaluated efficacy of psychotherapies for pathological gambling. Pathological gamblers (N = 231) were randomly assigned to (a) referral to Gamblers Anonymous (GA), (b) GA referral plus a cognitive- behavioral (CB) workbook, or (c) GA referral plus 8 sessions of individual CB therapy. Gambling and related problems were assessed at baseline, 1 month later, posttreatment, and at 6- and 12-month follow-ups. CB treatment reduced gambling relative to GA referral alone during the treatment period and resulted in clinically significant improvements, with some effects maintained throughout follow-up ( ps = .05). Individual CB therapy improved some outcomes compared with the CB workbook. Attendance at GA and number of CB therapy sessions or workbook exercises completed were associated with gambling abstinence. These data suggest the efficacy of this CB therapy approach.","Cognitive-behavioral therapy for pathological gamblers.","https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-006X.74.3.555","Journal of Consulting and Clinical Psychology","Petry, 2006","A - Western"
"41","Petry, 2006","Petry, 2006",0.218071172428867,0.18041055819708,"cbt","cau","USA","H","wb","cau","msd","gambling","frequency","frequency",6.1,7.9,72,8,9.6,53,NA,NA,2006,8,"post","ind","ush","us",44.3,0.47,1,0,0,1,2,"Petry, N. M., Ammerman, Y., Bohl, J., Doersch, A., Gay, H., Kadden, R., ... & Steinberg, K. (2006). Cognitive-behavioral therapy for pathological gamblers. Journal of Consulting and Clinical Psychology, 74(3), 555-567.","10.1037/0022-006X.74.3.555","Few studies have evaluated efficacy of psychotherapies for pathological gambling. Pathological gamblers (N = 231) were randomly assigned to (a) referral to Gamblers Anonymous (GA), (b) GA referral plus a cognitive- behavioral (CB) workbook, or (c) GA referral plus 8 sessions of individual CB therapy. Gambling and related problems were assessed at baseline, 1 month later, posttreatment, and at 6- and 12-month follow-ups. CB treatment reduced gambling relative to GA referral alone during the treatment period and resulted in clinically significant improvements, with some effects maintained throughout follow-up ( ps = .05). Individual CB therapy improved some outcomes compared with the CB workbook. Attendance at GA and number of CB therapy sessions or workbook exercises completed were associated with gambling abstinence. These data suggest the efficacy of this CB therapy approach.","Cognitive-behavioral therapy for pathological gamblers.","https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-006X.74.3.555","Journal of Consulting and Clinical Psychology","Petry, 2006","A - Western"
"42","Petry, 2009","Petry, 2009",0.116723122922506,0.287325259141114,"cbt","ao","USA","H",NA,NA,"msd","gambling","frequency","frequency",8.9,8.7,18,9.9,8.3,34,NA,NA,2009,6,"post","ind","ind","us",20.3,0.13,1,1,1,1,4,"Petry, N. M., Weinstock, J., Morasco, B. J., & Ledgerwood, D. M. (2009). Brief motivational interventions for college student problem gamblers. Addiction, 104(9), 1569-1578.","10.1111/j.1360-0443.2009.02652.x","Aims: College students experience high rates of problem and pathological gambling, yet little research has investigated methods for reducing gambling in this population. This study sought to examine the efficacy of brief intervention strategies. Design: Randomized trial. Setting: College campuses. Participants: A total of 117 college student problem and pathological gamblers. Interventions: Students were assigned randomly to: an assessment-only control, 10 minutes of brief advice, one session of motivational enhancement therapy (MET) or one session of MET, plus three sessions of cognitive-behavioral therapy (CBT). The three interventions were designed to reduce gambling. Measurements: Gambling was assessed at baseline, week 6 and month 9 using the Addiction Severity Index-gambling (ASI-G) module, which also assesses days and dollars wagered. Findings: Compared to the assessment-only condition, those receiving any intervention had significant decreases in ASI-G scores and days and dollars wagered over time. The MET condition decreased significantly ASI-G scores and dollars wagered over time, and increased the odds of a clinically significant reduction in gambling at the 9-month follow-up relative to the assessment-only condition, even after controlling for baseline indices that could impact outcomes. The Brief Advice and MET+CBT conditions had benefits on some, but not all, indices of gambling. None of the interventions differed significantly from one another. Conclusions These results suggest the efficacy of brief interventions for reducing gambling problems in college students.","Brief motivational interventions for college student problem gamblers","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1360-0443.2009.02652.x","Addiction","Petry, 2009","A - Western"
"43","Petry, 2016","Petry, 2016",0.094660650005822,0.167956874742337,"cbt","cau","USA","H",NA,NA,"msd","gambling","frequency","frequency",13.5,5.3,75,14,5.2,66,NA,NA,2016,8,"post","ind","ind","us",41.9,0.28,1,0,0,1,2,"Petry, N. M., Rash, C. J., & Alessi, S. M. (2016). A randomized controlled trial of brief interventions for problem gambling in substance abuse treatment patients. Journal of Consulting and Clinical Psychology, 84(10), 874-886.","10.1037/ccp0000127","Objective: This study evaluated the efficacy of brief gambling treatments in patients attending substance abuse treatment clinics. Method: Substance abuse treatment patients with gambling problems (N = 217) were randomly assigned to a 10- to 15-min brief psychoeducation gambling intervention; a 10- to 15-min brief advice intervention addressing gambling norms, risk factors, and methods to prevent additional problems; or 4 50-min sessions of motivational enhancement therapy plus cognitive behavior therapy for reducing gambling (MET + CBT). Gambling and related problems were assessed at baseline and throughout 24 months. Results: In the sample as a whole, days and dollars wagered and gambling problems decreased markedly from baseline through Month 5; thereafter, reductions in dollars wagered and gambling problems continued to decrease modestly but significantly, and days gambled remained constant. Brief advice significantly reduced days gambled between baseline and Month 5 relative to brief psychoeducation. The MET + CBT condition engendered no benefit beyond brief advice in terms of days gambled but did lead to more precipitous reductions in dollars gambled and problems experienced in the initial 5 months, and greater clinically significant improvements in gambling in both the short and long term. MET + CBT also resulted in initial decreases in self-reported alcohol use and problems but did not differentially impact self-reported illicit drug use or submission of positive samples. Conclusions: Gambling problems tend to dissipate over time regardless of the intervention applied, but offering MET + CBT was more efficacious in decreasing gambling than providing a brief single session intervention.","A randomized controlled trial of brief interventions for problem gambling in substance abuse treatment patients.","https://psycnet.apa.org/record/2016-33917-001","Journal of Consulting and Clinical Psychology","Petry, 2016","A - Western"
"44","So, 2020","So, 2020",0.0730066735140876,0.142038711809881,"cbt","ao","Japan","H",NA,NA,"md","gambling","frequency","frequency",NA,NA,96,NA,NA,101,-1.21,16.51,2020,4,"post","ind","ind","eas",36.3,0.21,1,1,0,1,3,"So, R., Furukawa, T. A., Matsushita, S., Baba, T., Matsuzaki, T., Furuno, S., ... & Higuchi, S. (2020). Unguided chatbot-delivered cognitive behavioural intervention for problem gamblers through messaging app: a randomised controlled trial. Journal of Gambling Studies, 36(4), 1391-1407.","10.1007/s10899-020-09935-4","Internet-delivered intervention may be an acceptable alternative for the more than 90% of problem gamblers who are reluctant to seek face-to-face support. Thus, we aimed to (1) develop a low-dropout unguided intervention named GAMBOT integrated with a messaging app; and (2) investigate its effect. The present study was a randomised, quadruple-blind, controlled trial. We set pre-to-post change in the Problem Gambling Severity Index (PGSI) as the primary outcome and pre-to-post change in the Gambling Symptom Assessment Scale (G-SAS) as a secondary outcome. Daily monitoring, personalised feedback, and private messages based on cognitive behavioural theory were offered to participants in the intervention group through a messaging app for 28 days (GAMBOT). Participants in the control group received biweekly messages only for assessments for 28 days (assessments only). A total of 197 problem gamblers were included in the primary analysis. We failed to demonstrate a significant between-group difference in the primary outcome (PGSI − 1.14, 95% CI − 2.75 to 0.47, p = 0.162) but in the secondary outcome (G-SAS − 3.14, 95% CI − 0.24 to − 6.04, p = 0.03). Only 6.7% of the participants dropped out during follow-up and 77% of the GAMBOT group participants (74/96) continued to participate in the intervention throughout the 28-day period. Integrating intervention into a chatbot feature on a frequently used messaging app shows promise in helping to overcome the high dropout rate of unguided internet-delivered interventions. More effective and sophisticated contents delivered by a chatbot should be sought to engage over 90% of problem gamblers who are reluctant to seek face-to-face support.","Unguided Chatbot-Delivered Cognitive Behavioural Intervention for Problem Gamblers Through Messaging App: A Randomised Controlled Trial","https://link.springer.com/article/10.1007/s10899-020-09935-4","Journal of Gambling Studies","So, 2020","B - Non-Western"
