"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","contr_MA.","psy","ctr","multiple_arms_ig","multiple_arms_cg","descr_ig","descr_cg","comparison","outcome_type","sample","outc_type","outc_measure","sr_clinician","time","time_weeks","post_m_ig","post_sd_ig","post_n_ig","post_m_cg","post_sd_cg","post_n_cg","baseline_m_ig","baseline_sd_ig","baseline_n_ig","baseline_m_cg","baseline_sd_cg","baseline_n_cg","dich","dich_type","improved_n_ig","improved_n_cg","rand_n_ig","rand_n_cg","dropout_n_ig","dropout_n_cg","change_m_ig_new","change_m_cg_new","change_sd_ig","change_sd_cg","change_n_ig","change_n_cg","other_statistic","year","comorbid_mental","format","format_details","n_sessions_ig","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","d1","d2","d3","d4","d5","ROB","itt","no.arms","is.multiarm","totaln_arm2","totaln_arm1","event_arm2","event_arm1","n_arm2","n_arm1","sd_arm2","sd_arm1","mean_arm2","mean_arm1","multi_arm2","multi_arm1","rob",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2","full_ref",".id.1","culture"
"25","Carl, 2020","Carl_2020_msd_6_sr_cbt_wl_NA_NA",0.57263970417985,0.127551025940437,"cbt","wl","United Kingdom","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","worry","PSWQ","sr","post",6,62.56,"9.81","128.0",67.66,"7.84","128.0",70.8,"6.9","128.0",70.9,"5.9","128.0",NA,NA,NA,NA,"128.0","128.0","21.0","6.0",NA,NA,NA,NA,NA,NA,NA,2020,"n","ind","ind",4,"uk","adul",30.9,68,"com","gad","adul","low risk","low risk","low risk","low risk","low risk","low risk",1,2,0,128,128,NA,NA,128,128,7.84,9.81,67.66,62.56,NA,NA,1,NA,NA,NA,NA,NA,NA,"Carl, J. R., Miller, C. B., Henry, A. L., Davis, M. L., Stott, R., Smits, J. A. J., . . . Espie, C. A. (2020). Efficacy of digital cognitive behavioral therapy for moderate-to-severe symptoms of generalized anxiety disorder: A randomized controlled trial. Depression and Anxiety. doi:10.1002/da.23079","Carl_2020_msd_6_sr_cbt_wl_NA_NA","A - Western"
"26","Cragan, 1984","Cragan_1984_msd_6_sr_cbt_wl_ct_wl",1.31728983080715,0.36968063773335,"cbt","wl","USA","H",1,"cbt","wl","ct","wl","Anxiety management training",NA,"PSYvsCTR","msd","co","gen anx","STAI-T","sr","post",6,32.23,"7.4","19.0",44.39,"10.56","17.0",46.63,"8.58","19.0",44.35,"11.23","17.0",NA,NA,NA,NA,"20.0","21.0","1.0","1.0",NA,NA,NA,NA,NA,NA,NA,1984,"n","grp","grp",6,"us","adul",34.47,67.27,"com","gad","adul","high risk","some concerns","low risk","low risk","some concerns","high risk",0,3,1,21,20,NA,NA,17,19,10.56,7.4,44.39,32.23,"wl","ct",0,NA,NA,NA,NA,NA,NA,"Cragan, M. K., & Deffenbacher, J. L. (1984). Anxiety management training and relaxation as self-control in the treatment of generalized anxiety in medical outpatients. Journal of counseling psychology, 31(2), 123‐131. Retrieved from https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00216399/full","Cragan_1984_msd_6_sr_cbt_wl_ct_wl","A - Western"
"27","Cragan, 1984","Cragan_1984_msd_6_sr_ar_wl_ar_wl",0.609210734599801,0.34182856165818,"ar","wl","USA","H",1,"ar","wl","ar","wl","Relaxation as Self-Control",NA,"PSYvsCTR","msd","co","gen anx","STAI-T","sr","post",6,37.85,"10.44","19.0",44.39,"10.56","17.0",45.42,"9.2","19.0",44.35,"11.23","17.0",NA,NA,NA,NA,"20.0","21.0","1.0","1.0",NA,NA,NA,NA,NA,NA,NA,1984,"n","grp","grp",6,"us","adul",34.47,67.27,"com","gad","adul","high risk","some concerns","low risk","low risk","some concerns","high risk",0,3,1,21,20,NA,NA,17,19,10.56,10.44,44.39,37.85,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Cragan, M. K., & Deffenbacher, J. L. (1984). Anxiety management training and relaxation as self-control in the treatment of generalized anxiety in medical outpatients. Journal of counseling psychology, 31(2), 123‐131. Retrieved from https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00216399/full","Cragan_1984_msd_6_sr_ar_wl_ar_wl","A - Western"
"28","Dahlin, 2016","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA",0.975858368745276,0.229717303946848,"3rd","wl","Sweden","H",1,"3rd","wl",NA,NA,"therapist-guided internet-delivered acceptance-based behaviour therapy",NA,"PSYvsCTR","msd","co","GAD","GAD7","sr","post",9,6.9,"3.52","42.0",10.72,"4.2","43.0",13.83,"3.66","52.0",13.51,"4.14","51.0",NA,NA,NA,NA,"52.0","51.0","10.0","8.0",NA,NA,NA,NA,NA,NA,NA,2016,"n","gsh","gsh",7,"eu","adul",39.48,83.5,"com","gad","adul","low risk","some concerns","low risk","low risk","low risk","some concerns",0,2,0,51,52,NA,NA,43,42,4.2,3.52,10.72,6.9,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dahlin, M., Andersson, G., Magnusson, K., Johansson, T., Sjogren, J., Hakansson, A., . . . Carlbring, P. (2016). Internet-delivered acceptance-based behaviour therapy for generalized anxiety disorder: A randomized controlled trial. Behav Res Ther, 77, 86-95. doi:10.1016/j.brat.2015.12.007","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA","A - Western"
"29","Dahlin, 2016","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA",0.864779248752711,0.227035799038123,"3rd","wl","Sweden","H",1,"3rd","wl",NA,NA,"therapist-guided internet-delivered acceptance-based behaviour therapy",NA,"PSYvsCTR","msd","co","worry","PSWQ","sr","post",9,55.29,"10.02","42.0",63.35,"8.4","43.0",66.88,"7.16","52.0",67.45,"6.77","51.0",NA,NA,NA,NA,"52.0","51.0","10.0","8.0",NA,NA,NA,NA,NA,NA,NA,2016,"n","gsh","gsh",7,"eu","adul",39.48,83.5,"com","gad","adul","low risk","some concerns","low risk","low risk","low risk","some concerns",0,2,0,51,52,NA,NA,43,42,8.4,10.02,63.35,55.29,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dahlin, M., Andersson, G., Magnusson, K., Johansson, T., Sjogren, J., Hakansson, A., . . . Carlbring, P. (2016). Internet-delivered acceptance-based behaviour therapy for generalized anxiety disorder: A randomized controlled trial. Behav Res Ther, 77, 86-95. doi:10.1016/j.brat.2015.12.007","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA","A - Western"
"30","Dahlin, 2016","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA",0.546772687838153,0.221034487445785,"3rd","wl","Sweden","H",1,"3rd","wl",NA,NA,"therapist-guided internet-delivered acceptance-based behaviour therapy",NA,"PSYvsCTR","msd","co","gen anx","BAI","sr","post",9,12.67,"8.24","42.0",17.09,"7.78","43.0",21.12,"8.81","52.0",22.04,"8.2","51.0",NA,NA,NA,NA,"52.0","51.0","10.0","8.0",NA,NA,NA,NA,NA,NA,NA,2016,"n","gsh","gsh",7,"eu","adul",39.48,83.5,"com","gad","adul","low risk","some concerns","low risk","low risk","low risk","some concerns",0,2,0,51,52,NA,NA,43,42,7.78,8.24,17.09,12.67,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dahlin, M., Andersson, G., Magnusson, K., Johansson, T., Sjogren, J., Hakansson, A., . . . Carlbring, P. (2016). Internet-delivered acceptance-based behaviour therapy for generalized anxiety disorder: A randomized controlled trial. Behav Res Ther, 77, 86-95. doi:10.1016/j.brat.2015.12.007","Dahlin_2016_msd_9_sr_3rd_wl_NA_NA","A - Western"
"31","Dugas, 2010","Dugas_2010_msd_12_cr_cbt_wl_cbt_wl",1.44980563003714,0.34473832974086,"cbt","wl","Canada","H",1,"cbt","wl","cbt","wl",NA,NA,"PSYvsCTR","msd","itt","gen anx","ADIS-IV","cr","post",12,1.61,"2.21","23.0",4.78,"2.07","20.0",5.78,"1.04","23.0",5.9,"1.25","20.0",NA,NA,NA,NA,"23.0","20.0","2.0","0.0",NA,NA,NA,NA,NA,NA,NA,2010,"n","ind","ind",12,"can","adul",38.5,66.15,"clin","gad","adul","low risk","low risk","low risk","low risk","some concerns","some concerns",1,3,1,20,23,NA,NA,20,23,2.07,2.21,4.78,1.61,"wl","cbt",0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Brillon, P., Savard, P., Turcotte, J., Gaudet, A., Ladouceur, R., . . . Gervais, N. J. (2010). A randomized clinical trial of cognitive-behavioral therapy and applied relaxation for adults with generalized anxiety disorder. Behav Ther, 41(1), 46-58. doi:10.1016/j.beth.2008.12.004","Dugas_2010_msd_12_cr_cbt_wl_cbt_wl","A - Western"
"32","Dugas, 2010","Dugas_2010_msd_12_cr_ar_wl_ar_wl",0.930405407071042,0.325822230438392,"ar","wl","Canada","H",1,"ar","wl","ar","wl","applied relaxation",NA,"PSYvsCTR","msd","itt","gen anx","ADIS-IV","cr","post",12,2.55,"2.58","22.0",4.78,"2.07","20.0",5.36,"1.26","22.0",5.9,"1.25","20.0",NA,NA,NA,NA,"22.0","20.0","5.0","0.0",NA,NA,NA,NA,NA,NA,NA,2010,"n","ind","ind",12,"can","adul",38.5,66.15,"clin","gad","adul","low risk","low risk","low risk","low risk","some concerns","some concerns",1,3,1,20,22,NA,NA,20,22,2.07,2.58,4.78,2.55,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Brillon, P., Savard, P., Turcotte, J., Gaudet, A., Ladouceur, R., . . . Gervais, N. J. (2010). A randomized clinical trial of cognitive-behavioral therapy and applied relaxation for adults with generalized anxiety disorder. Behav Ther, 41(1), 46-58. doi:10.1016/j.beth.2008.12.004","Dugas_2010_msd_12_cr_ar_wl_ar_wl","A - Western"
"33","Dugas, 2010","Dugas_2010_msd_12_sr_cbt_wl_cbt_wl",0.789664689110994,0.317810530563718,"cbt","wl","Canada","H",1,"cbt","wl","cbt","wl",NA,NA,"PSYvsCTR","msd","itt","worry","PSWQ","sr","post",12,51.13,"9.87","23.0",58.8,"9.13","20.0",61.65,"8.27","23.0",57.34,"9.78","20.0",NA,NA,NA,NA,"23.0","20.0","2.0","0.0",NA,NA,NA,NA,NA,NA,NA,2010,"n","ind","ind",12,"can","adul",38.5,66.15,"clin","gad","adul","low risk","low risk","low risk","low risk","some concerns","some concerns",1,3,1,20,23,NA,NA,20,23,9.13,9.87,58.8,51.13,"wl","cbt",0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Brillon, P., Savard, P., Turcotte, J., Gaudet, A., Ladouceur, R., . . . Gervais, N. J. (2010). A randomized clinical trial of cognitive-behavioral therapy and applied relaxation for adults with generalized anxiety disorder. Behav Ther, 41(1), 46-58. doi:10.1016/j.beth.2008.12.004","Dugas_2010_msd_12_sr_cbt_wl_cbt_wl","A - Western"
"34","Dugas, 2010","Dugas_2010_msd_12_sr_ar_wl_ar_wl",0.759729922929197,0.320300908186564,"ar","wl","Canada","H",1,"ar","wl","ar","wl","applied relaxation",NA,"PSYvsCTR","msd","itt","worry","PSWQ","sr","post",12,52.16,"8.04","22.0",58.8,"9.13","20.0",58.01,"5.51","22.0",57.34,"9.78","20.0",NA,NA,NA,NA,"22.0","20.0","5.0","0.0",NA,NA,NA,NA,NA,NA,NA,2010,"n","ind","ind",12,"can","adul",38.5,66.15,"clin","gad","adul","low risk","low risk","low risk","low risk","some concerns","some concerns",1,3,1,20,22,NA,NA,20,22,9.13,8.04,58.8,52.16,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Brillon, P., Savard, P., Turcotte, J., Gaudet, A., Ladouceur, R., . . . Gervais, N. J. (2010). A randomized clinical trial of cognitive-behavioral therapy and applied relaxation for adults with generalized anxiety disorder. Behav Ther, 41(1), 46-58. doi:10.1016/j.beth.2008.12.004","Dugas_2010_msd_12_sr_ar_wl_ar_wl","A - Western"
"35","Dugas, 2003","Dugas_2003_msd_14_cr_cbt_wl_NA_NA",1.26263764571576,0.30469535324945,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","gen anx","ADIS-IV","cr","post",14,3.4,"1.78","25.0",5.3,"1.14","27.0",6.36,"1.19","25.0",5.82,"1.04","27.0",NA,NA,NA,NA,"25.0","27.0","2.0","2.0",NA,NA,NA,NA,NA,NA,NA,2003,"n","grp","grp",14,"can","adul",41.2,71.15,"com","gad","adul","some concerns","low risk","low risk","low risk","some concerns","some concerns",1,2,0,27,25,NA,NA,27,25,1.14,1.78,5.3,3.4,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Ladouceur, R., Leger, E., Freeston, M. H., Langlois, F., Provencher, M. D., & Boisvert, J. M. (2003). Group cognitive-behavioral therapy for generalized anxiety disorder: treatment outcome and long-term follow-up. J Consult Clin Psychol, 71(4), 821-825. ","Dugas_2003_msd_14_cr_cbt_wl_NA_NA","A - Western"
"36","Dugas, 2003","Dugas_2003_msd_14_sr_cbt_wl_NA_NA",1.02449467738036,0.295703486115981,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","worry","PSWQ","sr","post",14,49.08,"12.18","25.0",60.04,"8.75","27.0",62.56,"9.5","25.0",62.22,"7.0","27.0",NA,NA,NA,NA,"25.0","27.0","2.0","2.0",NA,NA,NA,NA,NA,NA,NA,2003,"n","grp","grp",14,"can","adul",41.2,71.15,"com","gad","adul","some concerns","low risk","low risk","low risk","some concerns","some concerns",1,2,0,27,25,NA,NA,27,25,8.75,12.18,60.04,49.08,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Ladouceur, R., Leger, E., Freeston, M. H., Langlois, F., Provencher, M. D., & Boisvert, J. M. (2003). Group cognitive-behavioral therapy for generalized anxiety disorder: treatment outcome and long-term follow-up. J Consult Clin Psychol, 71(4), 821-825. ","Dugas_2003_msd_14_sr_cbt_wl_NA_NA","A - Western"
"37","Dugas, 2022","Dugas_2022_msd_12_cr_cbt_wl_NA_NA",2.2377785670025,0.363596982453505,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,"Behavioral Experiments for Intolerance of Uncertainty",NA,"PSYvsCTR","msd","co","gen anx","ADIS-IV","cr","post",12,2.46,"1.41","23.0",5.17,"0.97","27.0",5.48,"0.83","30.0",5.47,"0.91","30.0",NA,NA,NA,NA,"30.0","30.0","7.0","3.0",NA,NA,NA,NA,NA,NA,NA,2022,"n","ind","ind",12,"can","adul",34.6,85,"com","gad","adul","some concerns","some concerns","some concerns","low risk","low risk","some concerns",0,2,0,30,30,NA,NA,27,23,0.97,1.41,5.17,2.46,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Sexton, K. A., Hebert, E. A., Bouchard, S., Gouin, J.-P., & Shafran, R. (2022). Behavioral experiments for intolerance of uncertainty: A randomized clinical trial for adults with generalized anxiety disorder. Behavior Therapy, 53(6), 1147-1160. doi:10.1016/j.beth.2022.05.003","Dugas_2022_msd_12_cr_cbt_wl_NA_NA","A - Western"
"38","Dugas, 2022","Dugas_2022_msd_12_sr_cbt_wl_NA_NA",1.82425705452164,0.338917409214821,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,"Behavioral Experiments for Intolerance of Uncertainty",NA,"PSYvsCTR","msd","co","worry","PSWQ","sr","post",12,44.13,"8.83","23.0",60,"8.33","27.0",67.43,"7.51","30.0",64,"6.48","30.0",NA,NA,NA,NA,"30.0","30.0","7.0","3.0",NA,NA,NA,NA,NA,NA,NA,2022,"n","ind","ind",12,"can","adul",34.6,85,"com","gad","adul","some concerns","some concerns","some concerns","low risk","low risk","some concerns",0,2,0,30,30,NA,NA,27,23,8.33,8.83,60,44.13,NA,NA,0,NA,NA,NA,NA,NA,NA,"Dugas, M. J., Sexton, K. A., Hebert, E. A., Bouchard, S., Gouin, J.-P., & Shafran, R. (2022). Behavioral experiments for intolerance of uncertainty: A randomized clinical trial for adults with generalized anxiety disorder. Behavior Therapy, 53(6), 1147-1160. doi:10.1016/j.beth.2022.05.003","Dugas_2022_msd_12_sr_cbt_wl_NA_NA","A - Western"
"39","Erickson, 2007","Erickson_2007_msd_11_sr_cbt_wl_NA_NA",-0.402630579491076,0.540666622205069,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","co","gen anx","BAI","sr","post",11,17,"11.6","7.0",13,"6.2","7.0",23.9,"16.9","7.0",15.7,"8.7","7.0",NA,NA,NA,NA,"NR","NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,2007,"n","grp","grp",11,"can","adul",NA,NA,"clin","gad","adul","some concerns","high risk","some concerns","low risk","some concerns","high risk",0,2,0,NA,NA,NA,NA,7,7,6.2,11.6,13,17,NA,NA,0,NA,NA,NA,NA,NA,NA,"Erickson, D. H., Janeck, A. S., & Tallman, K. (2007). A cognitive-behavioral group for patients with various anxiety disorders. Psychiatric Services, 58(9), 1205-1211.","Erickson_2007_msd_11_sr_cbt_wl_NA_NA","A - Western"
"40","Hoyer, 2009","Hoyer_2009_msd_15_cr_bt_wl_bt_wl",1.17902468511153,0.285093292265718,"bt","wl","Germany","H",1,"bt","wl","bt","wl","Worry exposure (WE)",NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",15,12.19,"7.82","29.0",21.15,"7.16","29.0",21.6,"7.23","29.0",23.33,"7.02","29.0",NA,NA,NA,NA,"24.0","31.0","4.0","1.0",NA,NA,NA,NA,NA,NA,NA,2009,"n","ind","ind",15,"eu","adul",45.4,71,"clin","gad","adul","some concerns","high risk","low risk","low risk","some concerns","high risk",0,3,1,31,24,NA,NA,29,29,7.16,7.82,21.15,12.19,"wl","bt",0,NA,NA,NA,NA,NA,NA,"Hoyer, J., Beesdo, K., Gloster, A. T., Runge, J., Hofler, M., & Becker, E. S. (2009). Worry exposure versus applied relaxation in the treatment of generalized anxiety disorder. Psychother Psychosom, 78(2), 106-115. doi:10.1159/000201936","Hoyer_2009_msd_15_cr_bt_wl_bt_wl","A - Western"
"41","Hoyer, 2009","Hoyer_2009_msd_15_cr_ar_wl_ar_wl",1.09972149411052,0.28478489581124,"ar","wl","Germany","H",1,"ar","wl","ar","wl",NA,NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",15,12.21,"8.82","28.0",21.15,"7.16","29.0",22.71,"7.35","28.0",23.33,"7.02","29.0",NA,NA,NA,NA,"18.0","31.0","2.0","1.0",NA,NA,NA,NA,NA,NA,NA,2009,"n","ind","ind",15,"eu","adul",45.4,71,"clin","gad","adul","some concerns","high risk","low risk","low risk","some concerns","high risk",0,3,1,31,18,NA,NA,29,28,7.16,8.82,21.15,12.21,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Hoyer, J., Beesdo, K., Gloster, A. T., Runge, J., Hofler, M., & Becker, E. S. (2009). Worry exposure versus applied relaxation in the treatment of generalized anxiety disorder. Psychother Psychosom, 78(2), 106-115. doi:10.1159/000201936","Hoyer_2009_msd_15_cr_ar_wl_ar_wl","A - Western"
"42","Hoyer, 2009","Hoyer_2009_msd_15_sr_bt_wl_bt_wl",0.266608168702875,0.263808833544554,"bt","wl","Germany","H",1,"bt","wl","bt","wl","Worry exposure (WE)",NA,"PSYvsCTR","msd","co","worry","PSWQ","sr","post",15,54.33,"10.13","29.0",57.03,"9.85","29.0",61.1,"10.4","29.0",57,"7.78","29.0",NA,NA,NA,NA,"24.0","31.0","4.0","1.0",NA,NA,NA,NA,NA,NA,NA,2009,"n","ind","ind",15,"eu","adul",45.4,71,"clin","gad","adul","some concerns","high risk","low risk","low risk","some concerns","high risk",0,3,1,31,24,NA,NA,29,29,9.85,10.13,57.03,54.33,"wl","bt",0,NA,NA,NA,NA,NA,NA,"Hoyer, J., Beesdo, K., Gloster, A. T., Runge, J., Hofler, M., & Becker, E. S. (2009). Worry exposure versus applied relaxation in the treatment of generalized anxiety disorder. Psychother Psychosom, 78(2), 106-115. doi:10.1159/000201936","Hoyer_2009_msd_15_sr_bt_wl_bt_wl","A - Western"
"43","Hoyer, 2009","Hoyer_2009_msd_15_sr_ar_wl_ar_wl",1.37420316765219,0.295339801191007,"ar","wl","Germany","H",1,"ar","wl","ar","wl",NA,NA,"PSYvsCTR","msd","co","worry","PSWQ","sr","post",15,43.55,"9.49","28.0",57.03,"9.85","29.0",56.84,"8.15","28.0",57,"7.78","29.0",NA,NA,NA,NA,"18.0","31.0","2.0","1.0",NA,NA,NA,NA,NA,NA,NA,2009,"n","ind","ind",15,"eu","adul",45.4,71,"clin","gad","adul","some concerns","high risk","low risk","low risk","some concerns","high risk",0,3,1,31,18,NA,NA,29,28,9.85,9.49,57.03,43.55,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Hoyer, J., Beesdo, K., Gloster, A. T., Runge, J., Hofler, M., & Becker, E. S. (2009). Worry exposure versus applied relaxation in the treatment of generalized anxiety disorder. Psychother Psychosom, 78(2), 106-115. doi:10.1159/000201936","Hoyer_2009_msd_15_sr_ar_wl_ar_wl","A - Western"
"44","Hui, 2017","Hui_2017_msd_12_sr_cbt_wl_NA_NA",2.16225629501332,0.318665156716943,"cbt","wl","China","UM",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","worry","PSWQ","sr","post",12,49.59,"7.76","32.0",66.06,"7.27","31.0",67.84,"7.41","32.0",67.48,"8.26","31.0",NA,NA,NA,NA,"32.0","31.0","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,2017,"n","grp","grp",12,"eas","old",65.74,42.84,"com","gad","old","some concerns","some concerns","low risk","low risk","some concerns","some concerns",1,2,0,31,32,NA,NA,31,32,7.27,7.76,66.06,49.59,NA,NA,0,NA,NA,NA,NA,NA,NA,"Hui, C., & Zhihui, Y. (2017). Group cognitive behavioral therapy targeting intolerance of uncertainty: a randomized trial for older Chinese adults with generalized anxiety disorder. Aging Ment Health, 21(12), 1294-1302. doi:10.1080/13607863.2016.1222349","Hui_2017_msd_12_sr_cbt_wl_NA_NA","A - Western"
"45","Hui, 2017","Hui_2017_msd_12_sr_cbt_wl_NA_NA",1.78042841239448,0.298829527434644,"cbt","wl","China","UM",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","GAD","GAD-Q-IV","sr","post",12,5.75,"2.3","32.0",10.42,"2.86","31.0",10.31,"2.79","32.0",10.06,"3.27","31.0",NA,NA,NA,NA,"32.0","31.0","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,2017,"n","grp","grp",12,"eas","old",65.74,42.84,"com","gad","old","some concerns","some concerns","low risk","low risk","some concerns","some concerns",1,2,0,31,32,NA,NA,31,32,2.86,2.3,10.42,5.75,NA,NA,0,NA,NA,NA,NA,NA,NA,"Hui, C., & Zhihui, Y. (2017). Group cognitive behavioral therapy targeting intolerance of uncertainty: a randomized trial for older Chinese adults with generalized anxiety disorder. Aging Ment Health, 21(12), 1294-1302. doi:10.1080/13607863.2016.1222349","Hui_2017_msd_12_sr_cbt_wl_NA_NA","A - Western"
"46","Hui, 2017","Hui_2017_msd_12_sr_cbt_wl_NA_NA",1.26134968619762,0.276500851485506,"cbt","wl","China","UM",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","gen anx","BAI","sr","post",12,12.44,"5.85","32.0",24.87,"12.54","31.0",23.69,"12.92","32.0",24.06,"12.88","31.0",NA,NA,NA,NA,"32.0","31.0","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,2017,"n","grp","grp",12,"eas","old",65.74,42.84,"com","gad","old","some concerns","some concerns","low risk","low risk","some concerns","some concerns",1,2,0,31,32,NA,NA,31,32,12.54,5.85,24.87,12.44,NA,NA,0,NA,NA,NA,NA,NA,NA,"Hui, C., & Zhihui, Y. (2017). Group cognitive behavioral therapy targeting intolerance of uncertainty: a randomized trial for older Chinese adults with generalized anxiety disorder. Aging Ment Health, 21(12), 1294-1302. doi:10.1080/13607863.2016.1222349","Hui_2017_msd_12_sr_cbt_wl_NA_NA","A - Western"
"47","Jones, 2016","Jones_2016_msd_10_sr_cbt_wl_NA_NA",0.815576066304422,0.326375926398454,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","co","GAD","GAD-7","sr","post",10,6.5,"4.55","22.0",10.16,"4.22","19.0",11.78,"4.87","24.0",11.99,"4.82","21.0",NA,NA,NA,NA,"24.0","22.0","2.0","3.0",NA,NA,NA,NA,NA,NA,NA,2016,"n","gsh","guided self-help",7,"can","old",65.1,86,"com","gad","old","low risk","low risk","low risk","low risk","low risk","low risk",0,2,0,22,24,NA,NA,19,22,4.22,4.55,10.16,6.5,NA,NA,1,NA,NA,NA,NA,NA,NA,"Jones, S. L., Hadjistavropoulos, H. D., & Soucy, J. N. (2016). A randomized controlled trial of guided internet-delivered cognitive behaviour therapy for older adults with generalized anxiety. J Anxiety Disord, 37, 1-9. doi:10.1016/j.janxdis.2015.10.006","Jones_2016_msd_10_sr_cbt_wl_NA_NA","A - Western"
"48","Jones, 2016","Jones_2016_msd_10_sr_cbt_wl_NA_NA",0.735662636136599,0.323958663320834,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","co","worry","PSWQ-A","sr","post",10,22.14,"8.08","22.0",27.89,"7.15","19.0",29.38,"8.67","24.0",28.67,"6.93","21.0",NA,NA,NA,NA,"24.0","22.0","2.0","3.0",NA,NA,NA,NA,NA,NA,NA,2016,"n","gsh","guided self-help",7,"can","old",65.1,86,"com","gad","old","low risk","low risk","low risk","low risk","low risk","low risk",0,2,0,22,24,NA,NA,19,22,7.15,8.08,27.89,22.14,NA,NA,1,NA,NA,NA,NA,NA,NA,"Jones, S. L., Hadjistavropoulos, H. D., & Soucy, J. N. (2016). A randomized controlled trial of guided internet-delivered cognitive behaviour therapy for older adults with generalized anxiety. J Anxiety Disord, 37, 1-9. doi:10.1016/j.janxdis.2015.10.006","Jones_2016_msd_10_sr_cbt_wl_NA_NA","A - Western"
"49","Ladouceur, 2000","Ladouceur_2000_msd_16_cr_cbt_wl_NA_NA",1.9958099558532,0.48625115360669,"cbt","wl","Canada","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","gen anx","ADIS-IV","cr","post",16,2.64,"1.55","14.0",5.67,"1.37","12.0",6.36,"0.74","14.0",5.92,"0.9","12.0",NA,NA,NA,NA,"14.0","12.0","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,2000,"n","ind","ind",16,"can","adul",39.7,76.92,"com","gad","adul","some concerns","low risk","low risk","low risk","some concerns","some concerns",1,2,0,12,14,NA,NA,12,14,1.37,1.55,5.67,2.64,NA,NA,0,NA,NA,NA,NA,NA,NA,"Ladouceur, R., Dugas, M. J., Freeston, M. H., Leger, E., Gagnon, F., & Thibodeau, N. (2000). Efficacy of a cognitive-behavioral treatment for generalized anxiety disorder: evaluation in a controlled clinical trial. J Consult Clin Psychol, 68(6), 957-964. ","Ladouceur_2000_msd_16_cr_cbt_wl_NA_NA","A - Western"
