"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","CHANGES","multi_arm1","multi_arm2","primary_calc","outcome_type","instrument","rating","mean_arm1","sd_arm1","n_arm1","mean_arm2","sd_arm2","n_arm2","mean_change_arm1","mean_change_arm2","sd_change_arm1","sd_change_arm2","n_change_arm1","n_change_arm2","dich_paper","event_arm1","event_arm2","totaln_arm1","totaln_arm2","precalc_g","precalc_g_se","precalc_log_rr","precalc_log_rr_se","other_stat","baseline_m_arm1","baseline_sd_arm1","baseline_n_arm1","baseline_m_arm2","baseline_sd_arm2","baseline_n_arm2","rand_arm1","rand_arm2","attr_arm1","attr_arm2","year","time_weeks","time_weeks_needs_cleaning","time","comorbid_mental","format","format_details","n_sessions_arm1","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","sg","ac","ba","itt","rob","adm","notes","outcome_rank","primary",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2","full_ref","doi","abstract","title","url","journal","id_study",".id.1","culture"
"523","Larcombe, 1984","Larcombe_1984_msd_hdrs_post_NA_clinician_cbt_wl_NA_NA",2.405,0.615,"cbt","wl","Australia","H",NA,NA,NA,1,"msd","hdrs","clinician",2,1.49,9,17.4,8.29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.22,5.12,9,16.9,6.41,10,NA,NA,NA,NA,1984,NA,NA,"post","n","grp","grp",6,"au","adul",42.5,0.68,"com","mood","med",0,0,"0",0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"Larcombe NA, Wilson PH. An evaluation of cognitive-behaviour therapy for depression in patients with multiple sclerosis. The British Journal of Psychiatry. 1984;145:366-71.",NA,"Twenty depressed multiple sclerotic patients were randomly allocated either to cognitive-behaviour therapy or to a waiting list control condition. Assessment of depressive symptoms was conducted at pre-treatment, post-treatment, and a four-week follow-up. In comparison to the waiting list condition, cognitive-behaviour therapy was found to result in clinically and statistically significant improvement on most measures. Although the mechanism by which such treatment achieves its effects is unclear, these results clearly support the use of cognitive-behavioural treatments for depression in this population.","An evaluation of cognitive-behaviour therapy for depression in patients with multiple sclerosis","http://bjp.rcpsych.org/content/bjprcpsych/145/4/366.full.pdf","Br J Psychiatry","Larcombe, 1984","Larcombe_1984_msd_hdrs_post_NA_clinician_cbt_wl_NA_NA","A - Western"
"524","Lee, 2021","Lee_2021_response(50%)_ces-d_post_10_self-report_bat_cau_NA_NA",1.006,0.458,"bat","cau","South Korea","H",NA,NA,NA,0,"response (50%)","ces-d","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Response (50% decline on CES-D)",9,2,31,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"10",NA,"post","n","grp","grp",10,"eas","adul",37,0.58,"clin","mood","adul",1,1,"1",1,4,NA,NA,5,0,1.566597754,0.7406416247,9,2,31,33,"Lee, E., Han, Y., Cha, Y. J., Oh, J. H., Hwang, N. R., Seo, H. J., & Choi, K. H. (2021). Community-Based Multi-Site Randomized Controlled Trial of Behavioral Activation for Patients with Depressive Disorders [Article in Press]. Community mental health journal. https://doi.org/10.1007/s10597-021-00828-3 
",NA,NA,NA,NA,NA,"Lee, 2021","Lee_2021_response(50%)_ces-d_post_10_self-report_bat_cau_NA_NA","B - Non-Western"
"525","Lee, 2021","Lee_2021_response(50%)_hdrs_post_10_clinician_bat_cau_NA_NA",0.85,0.395,"bat","cau","South Korea","H",NA,NA,NA,0,"response (50%)","hdrs","clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Response (50% decline on HRSD)",10,3,31,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"10",NA,"post","n","grp","grp",10,"eas","adul",37,0.58,"clin","mood","adul",1,1,"1",1,4,NA,NA,1,0,1.266493161,0.6089106983,10,3,31,33,"Lee, E., Han, Y., Cha, Y. J., Oh, J. H., Hwang, N. R., Seo, H. J., & Choi, K. H. (2021). Community-Based Multi-Site Randomized Controlled Trial of Behavioral Activation for Patients with Depressive Disorders [Article in Press]. Community mental health journal. https://doi.org/10.1007/s10597-021-00828-3 
",NA,NA,NA,NA,NA,"Lee, 2021","Lee_2021_response(50%)_hdrs_post_10_clinician_bat_cau_NA_NA","B - Non-Western"
"526","Lee, 2021","Lee_2021_msd_ces-d_post_10_self-report_bat_cau_NA_NA",0.522,0.334,"bat","cau","South Korea","H",NA,NA,NA,1,"msd","ces-d","self-report",18.95,10.87,22,25.94,15.74,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,33,NA,NA,NA,NA,NA,35.1,12.08,31,33.27,13.88,33,NA,NA,NA,NA,2021,"10",NA,"post","n","grp","grp",10,"eas","adul",37,0.58,"clin","mood","adul",1,1,"1",1,4,NA,NA,5,0,NA,NA,NA,NA,NA,NA,"Lee, E., Han, Y., Cha, Y. J., Oh, J. H., Hwang, N. R., Seo, H. J., & Choi, K. H. (2021). Community-Based Multi-Site Randomized Controlled Trial of Behavioral Activation for Patients with Depressive Disorders [Article in Press]. Community mental health journal. https://doi.org/10.1007/s10597-021-00828-3 
",NA,NA,NA,NA,NA,"Lee, 2021","Lee_2021_msd_ces-d_post_10_self-report_bat_cau_NA_NA","B - Non-Western"
"527","Lee, 2021","Lee_2021_msd_hdrs_post_10_clinician_bat_cau_NA_NA",0.398,0.332,"bat","cau","South Korea","H",NA,NA,NA,1,"msd","hdrs","clinician",14.82,7.83,22,18.5,10.54,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,33,NA,NA,NA,NA,NA,24.23,5.41,31,23.48,7.82,33,NA,NA,NA,NA,2021,"10",NA,"post","n","grp","grp",10,"eas","adul",37,0.58,"clin","mood","adul",1,1,"1",1,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"Lee, E., Han, Y., Cha, Y. J., Oh, J. H., Hwang, N. R., Seo, H. J., & Choi, K. H. (2021). Community-Based Multi-Site Randomized Controlled Trial of Behavioral Activation for Patients with Depressive Disorders [Article in Press]. Community mental health journal. https://doi.org/10.1007/s10597-021-00828-3 
",NA,NA,NA,NA,NA,"Lee, 2021","Lee_2021_msd_hdrs_post_10_clinician_bat_cau_NA_NA","B - Non-Western"
"528","Lemma, 2013","Lemma_2013_msd_phq-9_post_0_self-report_dyn_otherctr_dyn(i-psychodynamicwiththerapistsupport)_otherctr",-0.115,0.5,"dyn","other ctr","United Kingdom","H",NA,"dyn (i-psychodynamic with therapist support)","other ctr",1,"msd","phq-9","self-report",8.63,6.23,8,8,3.85,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,3.78,8,10.63,3.46,8,NA,NA,NA,NA,2013,"0",NA,"post","n","oth","oth (guided group)",8,"uk","adul",NA,0.76,"com","cut","adul",0,0,"sr",1,2,NA,NA,4,1,NA,NA,NA,NA,NA,NA,"Lemma A, Fonagy P. Feasibility study of a psychodynamic online group intervention for depression. Psychoanalytic Psychology. 2013;30(3):367-80.","10.1037/a0033239","Dynamic Interpersonal Therapy (DIT) was originally developed as a brief psychodynamic intervention for the treatment of depression and anxiety. More recently it has become the psychodynamic protocol for depression specifically within Improving Access to Psychological Therapies services across the U.K. The aim of the present study was to pilot and evaluate the feasibility of a group online version of DITOnline Group Dynamic Interpersonal Therapyand the perceived helpfulness of psychodynamically informed self-help materials. Twenty-four participants were randomly assigned to three groups. Participants in Condition A (n = 8) took part in an online DIT group, with self-help materials, facilitated by a therapist. Participants in Condition B (n = 8) were given access to a closed virtual group space where they could interact with each other and were supplied with the same self-help materials used by participants in Condition A, but without online therapist facilitation. Participants in Condition C (n = 8) received no instructions or facilitation, but had access to an online mental well-being site where they could meet virtually in a large, open, moderated virtual group space to discuss their psychological difficulties. This feasibility study was underpowered to detect significant differences in rates of change between facilitated and unfacilitated provision of material, but decline in symptoms appeared to be superior to control only for the facilitated group when the groups were considered separately. The response of the combined treated groups against control suggests that the DIT self-help materials may be helpful and appear to support the process of change. Further work is required. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)","Feasibility study of a psychodynamic online group intervention for depression","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-25624-001&site=ehost-live and alemma@tavi-port.nhs.uk and http://psycnet.apa.org/index.cfm?fa=search.displayrecord&uid=2013-25624-001","Psychoanalytic Psychology","Lemma, 2013","Lemma_2013_msd_phq-9_post_0_self-report_dyn_otherctr_dyn(i-psychodynamicwiththerapistsupport)_otherctr","A - Western"
"529","Lenze, 2017","Lenze_2017_otherdich(reducscore+cut-off)_eds_post_NA_self-report_ipt_cau_NA_NA",-0.119,0.367,"ipt","cau","USA","H",NA,NA,NA,0,"other dich (reduc score + cut-off)","eds","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reliable and clinically significant improvement (4 points on the EDS + cutoff score below 12)",11,12,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,"post","n","ind","ind",8,"us","adul",26.64,1,"com","mood","ppd",1,1,"sr",1,4,NA,NA,99,0,-0.08701137699,0.2626390419,11,12,19,19,"Lenze, S., & Potts, M. (2017). Brief Interpersonal Psychotherapy for depression during pregnancy in a low-income population: a randomized controlled trial. Journal of Affective Disorders, 210, 151-157.","10.1016/j.jad.2016.12.029","Background Depression is common in low-income pregnant women, and treatments need to be fitted to meet their needs. We conducted a randomized controlled trial comparing brief Interpersonal Psychotherapy (brief-IPT) to enhanced treatment as usual (ETAU) for perinatal depression in low-income women. The brief-IPT model is designed to better engage low-income women by utilizing an engagement session, providing flexible delivery of sessions, and pragmatic case management. Methods Pregnant women, aged >18, between 12 and 30 weeks gestation were recruited from an urban prenatal clinic. Women scoring >10 on the Edinburgh Depression Scale and meeting depressive disorder criteria were randomized to either brief-IPT (n=21) or ETAU (n=21). We assessed treatment outcomes, acceptability, and feasibility of the intervention (measured by session attendance). Results Depression scores significantly decreased in both brief-IPT and ETAU. Brief-IPT participants reported significant improvements in social support satisfaction as compared to ETAU participants, even after controlling for concurrent depressive symptoms. Brief-IPT participants reported high satisfaction with the program. However, many participants did not participate in the full 9-session course of treatment (average sessions attended =6, range 0-17). Limitations Small sample size, use of self-report measures, and lack of an active psychotherapy control group limits interpretation of study results. Conclusions Brief-IPT for perinatal depression is acceptable to low-income women and is helpful for improving depressive symptoms and social support. However, feasibility of the treatment was limited by relatively low session attendance in spite of efforts to maximize treatment engagement. Additional modifications to meet the needs of low-income women are discussed. Copyright 2016 Elsevier B.V.","Brief Interpersonal Psychotherapy for depression during pregnancy in a low-income population: a randomized controlled trial","http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/830/CN-01301830/frame.html","Journal of affective disorders","Lenze, 2017","Lenze_2017_otherdich(reducscore+cut-off)_eds_post_NA_self-report_ipt_cau_NA_NA","A - Western"
"530","Lenze, 2017","Lenze_2017_msd_epds_post_NA_self-report_ipt_cau_NA_NA",-0.415,0.312,"ipt","cau","USA","H",NA,NA,NA,1,"msd","epds","self-report",12.04,1.22,21,11.41,1.72,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.81,3.71,21,17.9,4.6,21,NA,NA,NA,NA,2017,NA,NA,"post","n","ind","ind",8,"us","adul",26.64,1,"com","mood","ppd",1,1,"sr",1,4,NA,NA,10,1,NA,NA,NA,NA,NA,NA,"Lenze, S., & Potts, M. (2017). Brief Interpersonal Psychotherapy for depression during pregnancy in a low-income population: a randomized controlled trial. Journal of Affective Disorders, 210, 151-157.","10.1016/j.jad.2016.12.029","Background Depression is common in low-income pregnant women, and treatments need to be fitted to meet their needs. We conducted a randomized controlled trial comparing brief Interpersonal Psychotherapy (brief-IPT) to enhanced treatment as usual (ETAU) for perinatal depression in low-income women. The brief-IPT model is designed to better engage low-income women by utilizing an engagement session, providing flexible delivery of sessions, and pragmatic case management. Methods Pregnant women, aged >18, between 12 and 30 weeks gestation were recruited from an urban prenatal clinic. Women scoring >10 on the Edinburgh Depression Scale and meeting depressive disorder criteria were randomized to either brief-IPT (n=21) or ETAU (n=21). We assessed treatment outcomes, acceptability, and feasibility of the intervention (measured by session attendance). Results Depression scores significantly decreased in both brief-IPT and ETAU. Brief-IPT participants reported significant improvements in social support satisfaction as compared to ETAU participants, even after controlling for concurrent depressive symptoms. Brief-IPT participants reported high satisfaction with the program. However, many participants did not participate in the full 9-session course of treatment (average sessions attended =6, range 0-17). Limitations Small sample size, use of self-report measures, and lack of an active psychotherapy control group limits interpretation of study results. Conclusions Brief-IPT for perinatal depression is acceptable to low-income women and is helpful for improving depressive symptoms and social support. However, feasibility of the treatment was limited by relatively low session attendance in spite of efforts to maximize treatment engagement. Additional modifications to meet the needs of low-income women are discussed. Copyright 2016 Elsevier B.V.","Brief Interpersonal Psychotherapy for depression during pregnancy in a low-income population: a randomized controlled trial","http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/830/CN-01301830/frame.html","Journal of affective disorders","Lenze, 2017","Lenze_2017_msd_epds_post_NA_self-report_ipt_cau_NA_NA","A - Western"
"531","Lenze, 2020","Lenze_2020_msd_epds_post_nr_self-report_ipt_cau_NA_NA",-0.135,0.366,"ipt","cau","USA","H",NA,NA,NA,1,"msd","epds","self-report",11,6.1,14,10.1,6.8,16,NA,NA,NA,NA,NA,NA,"-",NA,NA,21,21,NA,NA,NA,NA,NA,17.8,3.7,21,17.9,4.6,21,NA,NA,NA,NA,2020,"nr",NA,"post","n","ind","ind",9,"us","adul",26,100,"com","mood","ppd",1,1,"sr",1,4,NA,NA,10,1,NA,NA,NA,NA,NA,NA,"Lenze SN, Potts MA, Rodgers J, Luby J. Lessons learned from a pilot randomized controlled trial of dyadic interpersonal psychotherapy for perinatal depression in a low-income population. Journal of Affective Disorders. 2020;271:286-292.","10.1016/j.jad.2020.03.084","Background


Perinatal depression is a public health burden impacting mothers and their offspring. This study extended brief-Interpersonal Psychotherapy delivered during pregnancy by incorporating a postpartum attachment based dyadic-component to maintain mother's treatment gains and enhance the mother-infant relationship (called IPT-Dyad). The current report presents data from a pilot randomized controlled trial comparing IPT-Dyad to Enhanced Treatment as Usual (ETAU).





Methods


Women, ages 18 and older, between 12–30 weeks gestation meeting criteria for a depressive disorder were eligible. Participants were randomized to either IPT-Dyad (n = 21) or ETAU (n = 21). Maternal and infant outcomes were assessed through one-year postpartum.





Results


Participants were primarily African American (77%), single (80%), with low-incomes. Attrition was high in both groups (IPT-Dyad 30%; ETAU 40%). Depression scores improved from baseline in both groups and remained improved over the 12 month follow-up. There were no between group differences on measures of parenting stress, mother-infant interactions, and infant socioemotional functioning.





Limitations


The small sample size of this study was further reduced by attrition, despite efforts to maintain engagement. Reliance on self-report outcome measures is also a limitation.





Conclusions


IPT-Dyad may be a promising intervention for perinatal depression with potential benefit for mothers and babies. Treatment engagement and management of psychosocial needs were persistent challenges throughout the postpartum period. Further refinement of intervention content and schedule to better meet the needs and values of under-resourced mothers is needed. Earlier screening; better integration of care within OB settings; and delivering care in conjunction with social service resources may also improve outcomes.",NA,NA,NA,"Lenze, 2020","Lenze_2020_msd_epds_post_nr_self-report_ipt_cau_NA_NA","A - Western"
"532","Lerner, 2015","Lerner_2015_remission(cut-off)_phq-9_post_NA_self-report_cbt_cau_NA_NA",0.895,0.2,"cbt","cau","USA","H",NA,NA,NA,0,"remission (cut-off)","phq-9","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Remission (< 5 on the PHQ-9)",41,12,112,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,"post","n","tel","tel",8,"us","old",54.7,0.72,"oth","mood","oth",1,0,"sr",1,3,NA,NA,4,0,1.28085117,0.3005335747,41,12,112,118,"Lerner D, Adler DA, Rogers WH, Chang H, Greenhill A, Cymerman E, et al. A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism. Psychiatric Services. 2015;66(6):570-7.",NA,"Objectives: The study tested an intervention aimed at improving work functioning among middle-aged and older adults with depression and work limitations. Methods: A randomized clinical trial allocated an initial sample of 431 eligible employed adults (age 45) to a work-focused intervention (WFI) or usual care. Inclusion criteria were depression as measured by the Patient Health Questionnaire-9 (PHQ-9) and at-work limitations indicated by a productivity loss score 5% on the Work Limitations Questionnaire (WLQ). Study sites included 19 employers and five related organizations. Telephone-based counseling provided three integrated modalities: care coordination, cognitive-behavioral therapy strategy development, and work coaching and modification. Effectiveness (change in productivity loss scores from preintervention to four months postintervention) was tested with mixed models adjusted for confounders. Secondary outcomes included change in WLQ work performance scales, self-reported absences, and depression. Results: Of 1,227 eligible employees (7% of screened), 431 (35%) enrolled and 380 completed the study (12% attrition). At-work productivity loss improved 44% in the WFI group versus 13% in usual care (difference in change, p<.001). WFI group scores on the four WLQ scales improved 44% to 47%, significantly better than in usual care (p<.001 for each scale). Absence days declined by 53% in the WFI group versus 13% in usual care (difference in change, p<.001). Mean PHQ-9 depression symptom severity scores declined 51% for WFI versus 26% for usual care (difference in change, p<.001). Conclusions: The WFI was more effective than usual care at four-month follow-up. Given increasing efforts to provide more patient-centered, value-based care, the WFI could be an important resource.","A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L604840621 and http://dx.doi.org/10.1176/appi.ps.201400350 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=15579700&id=doi:10.1176%2Fappi.ps.201400350&atitle=A+randomized+clinical+trial+of+a+telephone+depression+intervention+to+reduce+employee+presenteeism+and+absenteeism&stitle=Psychiatr.+Serv.&title=Psychiatric+Services&volume=66&issue=6&spage=570&epage=577&aulast=Lerner&aufirst=Debra&auinit=D.&aufull=Lerner+D.&coden=PSSEF&isbn=&pages=570-577&date=2015&auinit1=D&auinitm= and http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4451283/pdf/nihms-679945.pdf","Psychiatric Services","Lerner, 2015","Lerner_2015_remission(cut-off)_phq-9_post_NA_self-report_cbt_cau_NA_NA","A - Western"
"533","Lerner, 2015","Lerner_2015_msd_phq-9_post_NA_self-report_cbt_cau_NA_NA",0.597,0.105,"cbt","cau","USA","H",NA,NA,NA,1,"msd","phq-9","self-report",7.1,6.1,190,10.6,5.6,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,5.2,217,14.3,4.9,214,NA,NA,NA,NA,2015,NA,NA,"post","n","tel","tel",8,"us","old",54.7,0.72,"oth","mood","oth",1,0,"sr",1,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,"Lerner D, Adler DA, Rogers WH, Chang H, Greenhill A, Cymerman E, et al. A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism. Psychiatric Services. 2015;66(6):570-7.",NA,"Objectives: The study tested an intervention aimed at improving work functioning among middle-aged and older adults with depression and work limitations. Methods: A randomized clinical trial allocated an initial sample of 431 eligible employed adults (age 45) to a work-focused intervention (WFI) or usual care. Inclusion criteria were depression as measured by the Patient Health Questionnaire-9 (PHQ-9) and at-work limitations indicated by a productivity loss score 5% on the Work Limitations Questionnaire (WLQ). Study sites included 19 employers and five related organizations. Telephone-based counseling provided three integrated modalities: care coordination, cognitive-behavioral therapy strategy development, and work coaching and modification. Effectiveness (change in productivity loss scores from preintervention to four months postintervention) was tested with mixed models adjusted for confounders. Secondary outcomes included change in WLQ work performance scales, self-reported absences, and depression. Results: Of 1,227 eligible employees (7% of screened), 431 (35%) enrolled and 380 completed the study (12% attrition). At-work productivity loss improved 44% in the WFI group versus 13% in usual care (difference in change, p<.001). WFI group scores on the four WLQ scales improved 44% to 47%, significantly better than in usual care (p<.001 for each scale). Absence days declined by 53% in the WFI group versus 13% in usual care (difference in change, p<.001). Mean PHQ-9 depression symptom severity scores declined 51% for WFI versus 26% for usual care (difference in change, p<.001). Conclusions: The WFI was more effective than usual care at four-month follow-up. Given increasing efforts to provide more patient-centered, value-based care, the WFI could be an important resource.","A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L604840621 and http://dx.doi.org/10.1176/appi.ps.201400350 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=15579700&id=doi:10.1176%2Fappi.ps.201400350&atitle=A+randomized+clinical+trial+of+a+telephone+depression+intervention+to+reduce+employee+presenteeism+and+absenteeism&stitle=Psychiatr.+Serv.&title=Psychiatric+Services&volume=66&issue=6&spage=570&epage=577&aulast=Lerner&aufirst=Debra&auinit=D.&aufull=Lerner+D.&coden=PSSEF&isbn=&pages=570-577&date=2015&auinit1=D&auinitm= and http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4451283/pdf/nihms-679945.pdf","Psychiatric Services","Lerner, 2015","Lerner_2015_msd_phq-9_post_NA_self-report_cbt_cau_NA_NA","A - Western"
"534","Lerner, 2015","Lerner_2015_response(50%)_phq-9_post_NA_self-report_cbt_cau_NA_NA",-0.02,0.176,"cbt","cau","USA","H",NA,NA,NA,0,"response (50%)","phq-9","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Response (50% decrease from the baseline and not remitting)",24,26,112,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,"post","n","tel","tel",8,"us","old",54.7,0.72,"oth","mood","oth",1,0,"sr",1,3,NA,NA,99,0,-0.0278569545,0.2504497104,24,26,112,118,"Lerner D, Adler DA, Rogers WH, Chang H, Greenhill A, Cymerman E, et al. A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism. Psychiatric Services. 2015;66(6):570-7.",NA,"Objectives: The study tested an intervention aimed at improving work functioning among middle-aged and older adults with depression and work limitations. Methods: A randomized clinical trial allocated an initial sample of 431 eligible employed adults (age 45) to a work-focused intervention (WFI) or usual care. Inclusion criteria were depression as measured by the Patient Health Questionnaire-9 (PHQ-9) and at-work limitations indicated by a productivity loss score 5% on the Work Limitations Questionnaire (WLQ). Study sites included 19 employers and five related organizations. Telephone-based counseling provided three integrated modalities: care coordination, cognitive-behavioral therapy strategy development, and work coaching and modification. Effectiveness (change in productivity loss scores from preintervention to four months postintervention) was tested with mixed models adjusted for confounders. Secondary outcomes included change in WLQ work performance scales, self-reported absences, and depression. Results: Of 1,227 eligible employees (7% of screened), 431 (35%) enrolled and 380 completed the study (12% attrition). At-work productivity loss improved 44% in the WFI group versus 13% in usual care (difference in change, p<.001). WFI group scores on the four WLQ scales improved 44% to 47%, significantly better than in usual care (p<.001 for each scale). Absence days declined by 53% in the WFI group versus 13% in usual care (difference in change, p<.001). Mean PHQ-9 depression symptom severity scores declined 51% for WFI versus 26% for usual care (difference in change, p<.001). Conclusions: The WFI was more effective than usual care at four-month follow-up. Given increasing efforts to provide more patient-centered, value-based care, the WFI could be an important resource.","A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L604840621 and http://dx.doi.org/10.1176/appi.ps.201400350 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=15579700&id=doi:10.1176%2Fappi.ps.201400350&atitle=A+randomized+clinical+trial+of+a+telephone+depression+intervention+to+reduce+employee+presenteeism+and+absenteeism&stitle=Psychiatr.+Serv.&title=Psychiatric+Services&volume=66&issue=6&spage=570&epage=577&aulast=Lerner&aufirst=Debra&auinit=D.&aufull=Lerner+D.&coden=PSSEF&isbn=&pages=570-577&date=2015&auinit1=D&auinitm= and http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4451283/pdf/nihms-679945.pdf","Psychiatric Services","Lerner, 2015","Lerner_2015_response(50%)_phq-9_post_NA_self-report_cbt_cau_NA_NA","A - Western"
"535","Leung, 2013","Leung_2013_msd_epds_post_0_self-report_cbt_cau_NA_NA",0.728,0.21,"cbt","cau","China","UM",NA,NA,NA,1,"msd","epds","self-report",9.04,3.76,47,12.69,5.89,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.17,2.33,47,13.92,2.87,50,NA,NA,NA,NA,2013,"0",NA,"post","n","grp","grp",6,"eas","adul",NA,1,"oth","cut","ppd",0,0,"sr",1,2,NA,NA,10,0,NA,NA,NA,NA,NA,NA,"Leung SS, Lee AM, Chiang VC, Lam SK, Kuen YW, Wong DF. Culturally sensitive, preventive antenatal group cognitive-behavioural therapy for Chinese women with depression. Internationan Journal of Nursing Practice. 2013;19(Supp 1):28-37.","10.1111/ijn.12021","Postnatal depression (PND) affects 10-15% of postnatal women worldwide, yet it is poorly recognized and managed. Among the psychological interventions, which are used to manage PND, cognitive-behavioural therapy was found to be effective and promising. In the past decade, research efforts have focused on developing effective antenatal interventions to prevent PND. Strong antenatal predictors such as antenatal depressive symptoms have been identified for targeted early intervention or prevention to help reduce the risk of developing depression after childbirth. However, the findings regarding effectiveness of antenatal preventive interventions have been inconsistent. Based on the reports of previous studies, a brief group antenatal intervention using cognitive-behavioural approach is necessary, particularly one with sensitivity for Chinese woman. This paper reports the details of a nurse-led cognitive-behavioural programme developed and tested in, and for use with a sample of Hong Kong pregnant women. The trial run showed that the programme was feasible to be implemented and well received by the participants.","Culturally sensitive, preventive antenatal group cognitive-behavioural therapy for Chinese women with depression",NA,"Int J Nurs Pract","Leung, 2013","Leung_2013_msd_epds_post_0_self-report_cbt_cau_NA_NA","A - Western"
"536","Leung, 2013","Leung_2013_msd_hads-d_post_0_self-report_cbt_cau_NA_NA",-0.077,0.203,"cbt","cau","China","UM",NA,NA,NA,1,"msd","hads-d","self-report",5.64,3.11,47,5.41,2.81,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,47,4.82,2.81,50,NA,NA,NA,NA,2013,"0",NA,"post","n","grp","grp",6,"eas","adul",NA,1,"oth","cut","ppd",0,0,"sr",1,2,NA,NA,6,1,NA,NA,NA,NA,NA,NA,"Leung SS, Lee AM, Chiang VC, Lam SK, Kuen YW, Wong DF. Culturally sensitive, preventive antenatal group cognitive-behavioural therapy for Chinese women with depression. Internationan Journal of Nursing Practice. 2013;19(Supp 1):28-37.","10.1111/ijn.12021","Postnatal depression (PND) affects 10-15% of postnatal women worldwide, yet it is poorly recognized and managed. Among the psychological interventions, which are used to manage PND, cognitive-behavioural therapy was found to be effective and promising. In the past decade, research efforts have focused on developing effective antenatal interventions to prevent PND. Strong antenatal predictors such as antenatal depressive symptoms have been identified for targeted early intervention or prevention to help reduce the risk of developing depression after childbirth. However, the findings regarding effectiveness of antenatal preventive interventions have been inconsistent. Based on the reports of previous studies, a brief group antenatal intervention using cognitive-behavioural approach is necessary, particularly one with sensitivity for Chinese woman. This paper reports the details of a nurse-led cognitive-behavioural programme developed and tested in, and for use with a sample of Hong Kong pregnant women. The trial run showed that the programme was feasible to be implemented and well received by the participants.","Culturally sensitive, preventive antenatal group cognitive-behavioural therapy for Chinese women with depression",NA,"Int J Nurs Pract","Leung, 2013","Leung_2013_msd_hads-d_post_0_self-report_cbt_cau_NA_NA","A - Western"
