"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","time_weeks","format","country","rob","db"
"621","Matsuzaka, 2017","Matsuzaka_2017_msd_hdrs_post_NA_clinician_ipt_cau_NA_NA",-0.041,0.225,"ipt","cau","Brazil","UM",NA,NA,NA,"ind","oth",4,"dep"
"622","McClay, 2015","McClay_2015_change_phq-9_post_NA_self-report_cbt_wl_NA_NA",0.846,0.448,"cbt","wl","United Kingdom","H",NA,NA,NA,"grp","uk",2,"dep"
"623","McCusker, 2021","McCusker_2021_response(50%)_ces-d_post_24_self-report_cbt_cau_NA_NA",0.764,0.207,"cbt","cau","Canada","H",NA,NA,"24","gsh","can",3,"dep"
"624","McCusker, 2021","McCusker_2021_msd_ces-d_post_24_self-report_cbt_cau_NA_NA",0.661,0.131,"cbt","cau","Canada","H",NA,NA,"24","gsh","can",3,"dep"
"625","McIndoo, 2016","McIndoo_2016_otherdich(sign.change)_hdrs_post_3months_clinician_3rd_wl_3rdwave(mbt)_wl",1.556,0.508,"3rd","wl","USA","H","3rd wave (mbt)","wl","3 months","ind","us",2,"dep"
"626","McIndoo, 2016","McIndoo_2016_otherdich(sign.change)_hdrs_post_3months_clinician_bat_wl_bat(ba)_wl",1.55,0.528,"bat","wl","USA","H","bat (ba)","wl","3 months","ind","us",2,"dep"
"627","McIndoo, 2016","McIndoo_2016_msd_hdrs_post_3months_clinician_bat_wl_bat(ba)_wl",1.362,0.408,"bat","wl","USA","H","bat (ba)","wl","3 months","ind","us",2,"dep"
"628","McIndoo, 2016","McIndoo_2016_otherdich(sign.change)_bdi-1_post_3months_self-report_3rd_wl_3rdwave(mbt)_wl",1.089,0.456,"3rd","wl","USA","H","3rd wave (mbt)","wl","3 months","ind","us",3,"dep"
"629","McIndoo, 2016","McIndoo_2016_msd_hdrs_post_3months_clinician_3rd_wl_3rdwave(mbt)_wl",1.083,0.374,"3rd","wl","USA","H","3rd wave (mbt)","wl","3 months","ind","us",2,"dep"
"630","McIndoo, 2016","McIndoo_2016_msd_bdi-2_post_3months_self-report_bat_wl_bat(ba)_wl",1.027,0.391,"bat","wl","USA","H","bat (ba)","wl","3 months","ind","us",3,"dep"
"631","McIndoo, 2016","McIndoo_2016_otherdich(sign.change)_bdi-1_post_3months_self-report_bat_wl_bat(ba)_wl",0.941,0.462,"bat","wl","USA","H","bat (ba)","wl","3 months","ind","us",3,"dep"
"632","McIndoo, 2016","McIndoo_2016_remission(cut-off)_hdrs_post_3months_clinician_bat_wl_bat(ba)_wl",0.905,0.443,"bat","wl","USA","H","bat (ba)","wl","3 months","ind","us",2,"dep"
"633","McIndoo, 2016","McIndoo_2016_msd_bdi-2_post_3months_self-report_3rd_wl_3rdwave(mbt)_wl",0.708,0.359,"3rd","wl","USA","H","3rd wave (mbt)","wl","3 months","ind","us",3,"dep"
"634","McIndoo, 2016","McIndoo_2016_remission(cut-off)_bdi-1_post_3months_self-report_bat_wl_bat(ba)_wl",0.626,0.428,"bat","wl","USA","H","bat (ba)","wl","3 months","ind","us",3,"dep"
"635","McIndoo, 2016","McIndoo_2016_remission(cut-off)_hdrs_post_3months_clinician_3rd_wl_3rdwave(mbt)_wl",0.535,0.397,"3rd","wl","USA","H","3rd wave (mbt)","wl","3 months","ind","us",2,"dep"
"636","McIndoo, 2016","McIndoo_2016_remission(cut-off)_bdi-1_post_3months_self-report_3rd_wl_3rdwave(mbt)_wl",0.385,0.41,"3rd","wl","USA","H","3rd wave (mbt)","wl","3 months","ind","us",3,"dep"
"637","McKee, 2006","McKee_2006_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA",0.073,0.313,"cbt","cau","USA","H",NA,NA,NA,"ind","us",1,"dep"
"638","Mennen, 2021","Mennen_2021_msd_ces-d_post_12_self-report_ipt_cau_NA_NA",0.385,0.188,"ipt","cau","USA","H",NA,NA,"12","grp","us",3,"dep"
"639","Michalak, 2015","Michalak_2015_remission(cut-off)_hdrs_post_0_clinician_otherpsy_cau_otherpsy(cbasp+cau)_cau",0.95,0.455,"other psy","cau","Germany","H","other psy (cbasp+cau)","cau","0","oth","eu",4,"dep"
"640","Michalak, 2015","Michalak_2015_msd_hdrs_post_0_clinician_otherpsy_cau_otherpsy(cbasp+cau)_cau",0.758,0.268,"other psy","cau","Germany","H","other psy (cbasp+cau)","cau","0","oth","eu",4,"dep"
"641","Michalak, 2015","Michalak_2015_remission(cut-off)_hdrs_post_0_clinician_3rd_cau_3rdwave(mbct+cau)_cau",0.651,0.471,"3rd","cau","Germany","H","3rd wave (mbct+cau)","cau","0","grp","eu",4,"dep"
"642","Michalak, 2015","Michalak_2015_msd_bdi-1_post_0_self-report_otherpsy_cau_otherpsy(cbasp+cau)_cau",0.525,0.263,"other psy","cau","Germany","H","other psy (cbasp+cau)","cau","0","oth","eu",4,"dep"
"643","Michalak, 2015","Michalak_2015_msd_bdi-1_post_0_self-report_3rd_cau_3rdwave(mbct+cau)_cau",0.501,0.268,"3rd","cau","Germany","H","3rd wave (mbct+cau)","cau","0","grp","eu",4,"dep"
"644","Michalak, 2015","Michalak_2015_msd_hdrs_post_0_clinician_3rd_cau_3rdwave(mbct+cau)_cau",0.353,0.266,"3rd","cau","Germany","H","3rd wave (mbct+cau)","cau","0","grp","eu",4,"dep"
"645","Milgrom, 2005","Milgrom_2005_remission(cut-off)_bdi-1_post_NA_self-report_sup_cau_sup(groupcounselling)_cau",0.848,0.351,"sup","cau","Australia","H","sup (group counselling)","cau",NA,"grp","au",4,"dep"
"646","Milgrom, 2005","Milgrom_2005_remission(cut-off)_bdi-1_post_NA_self-report_sup_cau_sup(individualcounselling)_cau",0.693,0.342,"sup","cau","Australia","H","sup (individual counselling)","cau",NA,"ind","au",4,"dep"
"647","Milgrom, 2005","Milgrom_2005_remission(cut-off)_bdi-1_post_NA_self-report_cbt_cau_cbt(groupcbt)_cau",0.624,0.352,"cbt","cau","Australia","H","cbt (group cbt)","cau",NA,"grp","au",4,"dep"
"648","Milgrom, 2011","Milgrom_2011_msd_bdi-2_post_NA_self-report_cbt_cau_cbt(cbtbynurse+cau)_cau",0.654,0.306,"cbt","cau","Australia","H","cbt (cbt by nurse+cau)","cau",NA,"ind","au",4,"dep"
"649","Milgrom, 2011","Milgrom_2011_msd_bdi-2_post_NA_self-report_cbt_cau_cbt(cbtbypsychologist+cau)_cau",0.067,0.295,"cbt","cau","Australia","H","cbt (cbt by psychologist+cau)","cau",NA,"ind","au",4,"dep"
"650","Milgrom, 2015b","Milgrom_2015b_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA",0.566,0.308,"cbt","cau","Australia","H",NA,NA,NA,"ind","au",4,"dep"
"651","Milgrom, 2016","Milgrom_2016_remission(diag)_scid-iv_post_12_self-report_cbt_cau_NA_NA",1.31,0.405,"cbt","cau","Australia","H",NA,NA,"12","gsh","au",4,"dep"
"652","Milgrom, 2016","Milgrom_2016_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA",0.829,0.318,"cbt","cau","Australia","H",NA,NA,NA,"gsh","au",4,"dep"
"653","Milgrom, 2021","Milgrom_2021_msd_bdi-2_post_12_self-report_cbt_cau_cbt(i-cbt)_cau",0.747,0.236,"cbt","cau","Australia","H","cbt (i-cbt)","cau","12","gsh","au",4,"dep"
"654","Milgrom, 2021","Milgrom_2021_msd_bdi-2_post_12_self-report_cbt_cau_cbt(f-t-f)_cau",-0.222,0.229,"cbt","cau","Australia","H","cbt (f-t-f)","cau","12","ind","au",4,"dep"
"655","Miller, 2002","Miller_2002_msd_hdrs_post_NA_clinician_ipt_cau_NA_NA",0.45,0.37,"ipt","cau","USA","H",NA,NA,NA,"tel","us",2,"dep"
"656","Miranda, 2003","Miranda_2003_msd_hdrs_post_NA_clinician_cbt_cau_NA_NA",0.159,0.15,"cbt","cau","USA","H",NA,NA,NA,"oth","us",4,"dep"
"657","Mohr, 2000","Mohr_2000_msd_poms-d_post_NA_self-report_cbt_cau_NA_NA",0.567,0.361,"cbt","cau","USA","H",NA,NA,NA,"tel","us",2,"dep"
"658","Mohr, 2011","Mohr_2011_msd_phq-9_post_NA_self-report_cbt_cau_NA_NA",0.292,0.236,"cbt","cau","USA","H",NA,NA,NA,"tel","us",2,"dep"
"659","Mohr, 2011","Mohr_2011_msd_hdrs_post_NA_clinician_cbt_cau_NA_NA",0.278,0.218,"cbt","cau","USA","H",NA,NA,NA,"tel","us",2,"dep"
"660","Mohr, 2011","Mohr_2011_remission(diag)_mini_post_NA_clinician_cbt_cau_NA_NA",0.13,0.24,"cbt","cau","USA","H",NA,NA,NA,"tel","us",2,"dep"
"661","Mohr, 2013","Mohr_2013_msd_phq-9_post_4months_self-report_cbt_wl_cbt(coachedi-cbt)_wl",0.517,0.249,"cbt","wl","USA","H","cbt (coached i-cbt)","wl","4 months","gsh","us",4,"dep"
"662","Mohr, 2013","Mohr_2013_remission(diag)_mini_post_4months_clinician_cbt_wl_cbt(coachedi-cbt)_wl",0.486,0.292,"cbt","wl","USA","H","cbt (coached i-cbt)","wl","4 months","gsh","us",4,"dep"
"663","Moldovan, 2013","Moldovan_2013_otherdich(RCI+cut-off)_bdi-ii_post_3months_self-report_cbt_wl_cbt(cognitivebibliotherapy)_wl",1.077,0.393,"cbt","wl","Romania","UM","cbt (cognitive bibliotherapy)","wl","3 months","gsh","eu",4,"dep"
"664","Moldovan, 2013","Moldovan_2013_otherdich(RCI+cut-off)_bdi-ii_post_3months_self-report_cbt_cau_cbt(cognitivebibliotherapy)_cau",1.012,0.395,"cbt","cau","Romania","UM","cbt (cognitive bibliotherapy)","cau","3 months","gsh","eu",4,"dep"
"665","Moldovan, 2013","Moldovan_2013_msd_bdi-2_post_3months_self-report_cbt_wl_cbt(cognitivebibliotherapy)_wl",0.642,0.313,"cbt","wl","Romania","UM","cbt (cognitive bibliotherapy)","wl","3 months","gsh","eu",4,"dep"
"666","Moldovan, 2013","Moldovan_2013_msd_bdi-2_post_3months_self-report_cbt_cau_cbt(cognitivebibliotherapy)_cau",0.591,0.319,"cbt","cau","Romania","UM","cbt (cognitive bibliotherapy)","cau","3 months","gsh","eu",4,"dep"
"667","Moldovan, 2013","Moldovan_2013_otherdich(RCI+cut-off)_bdi-ii_post_3months_self-report_cbt_otherctr_cbt(cognitivebibliotherapy)_otherctr",0.418,0.347,"cbt","other ctr","Romania","UM","cbt (cognitive bibliotherapy)","other ctr","3 months","gsh","eu",4,"dep"
"668","Moldovan, 2013","Moldovan_2013_msd_bdi-2_post_3months_self-report_cbt_otherctr_cbt(cognitivebibliotherapy)_otherctr",-0.116,0.309,"cbt","other ctr","Romania","UM","cbt (cognitive bibliotherapy)","other ctr","3 months","gsh","eu",4,"dep"
"669","Montero-Marin, 2016","Montero-Marin_2016_msd_bdi-2_post_NA_self-report_cbt_cau_cbt(low-intensitytherapist-guided(litg))_cau",0.077,0.175,"cbt","cau","Spain","H","cbt (low-intensity therapist-guided (litg))","cau",NA,"gsh","eu",4,"dep"
"670","Moon, 2021","Moon_2021_msd_hdrs_post_8_clinician_cbt_cau_NA_NA",2.192,0.408,"cbt","cau","South Korea","H",NA,NA,"8","grp","eas",4,"dep"
"671","Moon, 2021","Moon_2021_msd_bdi_post_8_self-report_cbt_cau_NA_NA",1.633,0.372,"cbt","cau","South Korea","H",NA,NA,"8","grp","eas",4,"dep"
"672","Mossey, 1996","Mossey_1996_remission(cut-off)_gds_post_NA_self-report_ipt_cau_NA_NA",0.205,0.276,"ipt","cau","USA","H",NA,NA,NA,"ind","us",1,"dep"
"673","Mukhtar, 2011","Mukhtar_2011_msd_bdi-1_post_NA_self-report_cbt_wl_NA_NA",4.827,0.374,"cbt","wl","Malaysia","UM",NA,NA,NA,"grp","eas",1,"dep"
"674","Mulcahy, 2010","Mulcahy_2010_otherdich(reducscore+cut-off)_epds_post_5months_self-report_ipt_cau_NA_NA",0.825,0.336,"ipt","cau","Australia","H",NA,NA,"5  months","oth","au",2,"dep"
"675","Mulcahy, 2010","Mulcahy_2010_msd_bdi-2_post_5months_self-report_ipt_cau_NA_NA",0.633,0.291,"ipt","cau","Australia","H",NA,NA,"5  months","oth","au",2,"dep"
"676","Mulcahy, 2010","Mulcahy_2010_msd_epds_post_5months_self-report_ipt_cau_NA_NA",0.631,0.291,"ipt","cau","Australia","H",NA,NA,"5  months","oth","au",2,"dep"
"677","Mulcahy, 2010","Mulcahy_2010_msd_hdrs_post_5months_clinician_ipt_cau_NA_NA",0.538,0.289,"ipt","cau","Australia","H",NA,NA,"5  months","oth","au",2,"dep"
"678","Mulcahy, 2010","Mulcahy_2010_remission(cut-off)_hdrs_post_5months_clinician_ipt_cau_NA_NA",0.537,0.345,"ipt","cau","Australia","H",NA,NA,"5  months","oth","au",2,"dep"
"679","Mulcahy, 2010","Mulcahy_2010_otherdich(reducscore)_epds_post_5months_self-report_ipt_cau_NA_NA",0.492,0.694,"ipt","cau","Australia","H",NA,NA,"5  months","oth","au",2,"dep"
"680","Musa, 2021","Musa_2021_msd_bdi-2_post_8_self-report_3rd_cau_NA_NA",0.491,0.203,"3rd","cau","Nigeria","LM",NA,NA,"8","grp","oth",4,"dep"
"681","Mynors-Wallis, 1995","Mynors-Wallis_1995_remission(cut-off)_hdrs_post_0_clinician_pst_otherctr_NA_NA",0.771,0.307,"pst","other ctr","United Kingdom","H",NA,NA,"0","ind","uk",2,"dep"
"682","Mynors-Wallis, 1995","Mynors-Wallis_1995_msd_bdi-1_post_0_self-report_pst_otherctr_NA_NA",0.69,0.278,"pst","other ctr","United Kingdom","H",NA,NA,"0","ind","uk",2,"dep"
"683","Mynors-Wallis, 1995","Mynors-Wallis_1995_msd_hdrs_post_0_clinician_pst_otherctr_NA_NA",0.663,0.278,"pst","other ctr","United Kingdom","H",NA,NA,"0","ind","uk",2,"dep"
"684","Mynors-Wallis, 1995","Mynors-Wallis_1995_remission(cut-off)_bdi-1_post_0_self-report_pst_otherctr_NA_NA",0.607,0.299,"pst","other ctr","United Kingdom","H",NA,NA,"0","ind","uk",2,"dep"
"685","Nadort, 2022","Nadort_2022_msd_bdi-2_post_12_self-report_pst_cau_NA_NA",0.062,0.182,"pst","cau","Netherlands","H",NA,NA,"12","gsh","eu",3,"dep"
"686","Naeem, 2013","Naeem_2013_remission(cut-off)_hads_post_NA_self-report_cbt_cau_NA_NA",1.292,0.198,"cbt","cau","Pakistan","LM",NA,NA,NA,"gsh","oth",4,"dep"
"687","Naeem, 2013","Naeem_2013_msd_hads-d_post_NA_self-report_cbt_cau_NA_NA",1.116,0.159,"cbt","cau","Pakistan","LM",NA,NA,NA,"gsh","oth",4,"dep"
"688","Naeem, 2015","Naeem_2015_msd_hads-d_post_NA_self-report_cbt_cau_NA_NA",0.86,0.179,"cbt","cau","Pakistan","LM",NA,NA,NA,"oth","oth",4,"dep"
"689","Nakagawa, 2017","Nakagawa_2017_response(50%)_hdrs_post_NA_clinician_cbt_cau_NA_NA",1.074,0.28,"cbt","cau","Japan","H",NA,NA,NA,"ind","eas",4,"dep"
"690","Nakagawa, 2017","Nakagawa_2017_msd_hdrs_post_NA_clinician_cbt_cau_NA_NA",0.839,0.233,"cbt","cau","Japan","H",NA,NA,NA,"ind","eas",4,"dep"
"691","Nakagawa, 2017","Nakagawa_2017_remission(cut-off)_hdrs_post_NA_clinician_cbt_cau_NA_NA",0.592,0.28,"cbt","cau","Japan","H",NA,NA,NA,"ind","eas",4,"dep"
"692","Nakagawa, 2017","Nakagawa_2017_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA",0.241,0.224,"cbt","cau","Japan","H",NA,NA,NA,"ind","eas",4,"dep"
"693","Nakagawa, 2017","Nakagawa_2017_msd_qids-sr_post_NA_self-report_cbt_cau_NA_NA",0.107,0.224,"cbt","cau","Japan","H",NA,NA,NA,"ind","eas",4,"dep"
"694","Nakimuli-Mpungu, 2015","Nakimuli-Mpungu_2015_msd_srq-20_post_8months_self-report_otherpsy_otherctr_NA_NA",0.053,0.192,"other psy","other ctr","Uganda","L",NA,NA,"8 months","grp","oth",4,"dep"
"695","Nakimuli-Mpungu, 2020","Nakimuli-Mpungu_2020_remission(diag)_mini_post_24_clinician_cbt_otherctr_NA_NA",2.613,0.394,"cbt","other ctr","Uganda","L",NA,NA,"24","grp","oth",3,"dep"
"696","Nasrin, 2017","Nasrin_2017_msd_phq-9_post_NA_self-report_bat_wl_NA_NA",1.742,0.394,"bat","wl","United Kingdom","H",NA,NA,NA,"ind","uk",3,"dep"
"697","Neugebauer, 2006","Neugebauer_2006_msd_hdrs_post_NA_clinician_ipt_cau_NA_NA",0.151,0.46,"ipt","cau","USA","H",NA,NA,NA,"tel","us",2,"dep"
"698","Newby, 2013","Newby_2013_msd_phq-9_post_NA_self-report_cbt_wl_NA_NA",1.002,0.216,"cbt","wl","Australia","H",NA,NA,NA,"gsh","au",4,"dep"
"699","Newby, 2014","Newby_2014_msd_bdi-2_post_0_self-report_cbt_cau_NA_NA",0.099,0.316,"cbt","cau","Australia","H",NA,NA,"0","ind","au",2,"dep"
"700","Newby, 2017","Newby_2017_otherdich(RCI)_phq-9_post_NA_self-report_cbt_wl_NA_NA",1.177,0.295,"cbt","wl","Australia","H",NA,NA,NA,"gsh","au",4,"dep"
"701","Newby, 2017","Newby_2017_msd_k-10_post_NA_self-report_cbt_wl_NA_NA",1.057,0.248,"cbt","wl","Australia","H",NA,NA,NA,"gsh","au",4,"dep"
"702","Newby, 2017","Newby_2017_msd_phq-9_post_NA_self-report_cbt_wl_NA_NA",0.776,0.241,"cbt","wl","Australia","H",NA,NA,NA,"gsh","au",4,"dep"
"703","Nezu, 1986","Nezu_1986_msd_mmpi-d_post_NA_self-report_pst_wl_pst(pst)_wl",4.444,0.95,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"704","Nezu, 1986","Nezu_1986_otherdich(RCI)_bdi-1_post_NA_self-report_pst_wl_pst(pst)_wl",2.047,0.836,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"705","Nezu, 1986","Nezu_1986_msd_bdi-1_post_NA_self-report_pst_wl_pst(pst)_wl",2.009,0.624,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"706","Nezu, 1986","Nezu_1986_msd_mmpi-d_post_NA_self-report_pst_wl_pst(pft)_wl",1.412,0.594,"pst","wl","USA","H","pst (pft)","wl",NA,"grp","us",1,"dep"
"707","Nezu, 1986","Nezu_1986_otherdich(RCI)_mmpi-d_post_NA_self-report_pst_wl_pst(pft)_wl",1.195,0.719,"pst","wl","USA","H","pst (pft)","wl",NA,"grp","us",1,"dep"
"708","Nezu, 1986","Nezu_1986_msd_bdi-1_post_NA_self-report_pst_wl_pst(pft)_wl",0.401,0.533,"pst","wl","USA","H","pst (pft)","wl",NA,"grp","us",1,"dep"
"709","Nezu, 1986","Nezu_1986_otherdich(RCI)_bdi-1_post_NA_self-report_pst_wl_pst(pft)_wl",0.185,0.748,"pst","wl","USA","H","pst (pft)","wl",NA,"grp","us",1,"dep"
"710","Nezu, 1989","Nezu_1989_msd_bdi-1_post_NA_self-report_pst_wl_pst(pst)_wl",3.09,0.605,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"711","Nezu, 1989","Nezu_1989_msd_hdrs_post_NA_clinician_pst_wl_pst(pst)_wl",2.612,0.555,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"712","Nezu, 1989","Nezu_1989_otherdich(2sd)_bdi-1_post_NA_self-report_pst_wl_pst(pst)_wl",2.183,0.715,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"713","Nezu, 1989","Nezu_1989_otherdich(2sd)_hdrs_post_NA_clinician_pst_wl_pst(pst)_wl",1.92,0.681,"pst","wl","USA","H","pst (pst)","wl",NA,"grp","us",1,"dep"
"714","Nezu, 1989","Nezu_1989_msd_bdi-1_post_NA_self-report_pst_wl_pst(abreviatedpst)_wl",1.807,0.482,"pst","wl","USA","H","pst (abreviated pst)","wl",NA,"grp","us",1,"dep"
"715","Nezu, 1989","Nezu_1989_msd_hdrs_post_NA_clinician_pst_wl_pst(abreviatedpst)_wl",1.313,0.446,"pst","wl","USA","H","pst (abreviated pst)","wl",NA,"grp","us",1,"dep"
"716","Nezu, 1989","Nezu_1989_otherdich(2sd)_bdi-1_post_NA_self-report_pst_wl_pst(abreviatedpst)_wl",1.228,0.649,"pst","wl","USA","H","pst (abreviated pst)","wl",NA,"grp","us",1,"dep"
"717","Nezu, 1989","Nezu_1989_otherdich(2sd)_hdrs_post_NA_clinician_pst_wl_pst(abreviatedpst)_wl",1.228,0.649,"pst","wl","USA","H","pst (abreviated pst)","wl",NA,"grp","us",1,"dep"
"718","Ng, 2013","Ng_2013_msd_gds_post_NA_self-report_lrt_cau_NA_NA",1.432,0.444,"lrt","cau","Singapore","H",NA,NA,NA,"ind","eas",1,"dep"
"719","Ngai, 2015","Ngai_2015_msd_epds_post_6monthspostpartum_self-report_cbt_cau_NA_NA",0.442,0.102,"cbt","cau","China","UM",NA,NA,"6 months post partum","tel","eas",4,"dep"
"720","Niedermoser, 2020","Niedermoser_2020_msd_hdrs_post_8_clinician_ipt_cau_NA_NA",0.566,0.393,"ipt","cau","Switzerland","H",NA,NA,"8","grp","eu",3,"dep"
"721","Niedermoser, 2020","Niedermoser_2020_msd_bdi-2_post_8_self-report_ipt_cau_NA_NA",0.489,0.391,"ipt","cau","Switzerland","H",NA,NA,"8","grp","eu",4,"dep"
"722","Nobis, 2015","Nobis_2015_otherdich_ces-d_post_NA_self-report_otherpsy_otherctr_NA_NA",1.269,0.199,"other psy","other ctr","Germany","H",NA,NA,NA,"gsh","eu",3,"dep"
"723","Nobis, 2015","Nobis_2015_otherdich(reducscore)_ces-d_post_NA_self-report_otherpsy_otherctr_NA_NA",1.125,0.161,"other psy","other ctr","Germany","H",NA,NA,NA,"gsh","eu",3,"dep"
"724","Nobis, 2015","Nobis_2015_msd_ces-d_post_NA_self-report_otherpsy_otherctr_NA_NA",0.891,0.131,"other psy","other ctr","Germany","H",NA,NA,NA,"gsh","eu",3,"dep"
"725","Nobis, 2015","Nobis_2015_msd_hads-d_post_NA_self-report_otherpsy_otherctr_NA_NA",0.819,0.13,"other psy","other ctr","Germany","H",NA,NA,NA,"gsh","eu",3,"dep"
"726","Nollett, 2016","Nollett_2016_remission(cut-off)_gds_post_6months_self-report_pst_cau_pst(pst)_cau",-0.068,0.319,"pst","cau","United Kingdom","H","pst (pst)","cau","6 months","ind","uk",3,"dep"
"727","Nollett, 2016","Nollett_2016_remission(cut-off)_gds_post_6months_self-report_pst_wl_pst(pst)_wl",-0.177,0.328,"pst","wl","United Kingdom","H","pst (pst)","wl","6 months","ind","uk",3,"dep"
"728","Noone, 2022","Noone_2022_msd_phq-9_post_10_self-report_3rd_cau_NA_NA",0.018,0.391,"3rd","cau","United Kingdom","H",NA,NA,"10","grp","uk",4,"dep"
"729","Noone, 2022","Noone_2022_msd_csdd_post_10_clinician_3rd_cau_NA_NA",0.237,0.449,"3rd","cau","United Kingdom","H",NA,NA,"10","grp","uk",4,"dep"
"730","Northwood, 2020","Northwood_2020_msd_hscl-d_post_52_clinician_otherpsy_cau_NA_NA",0.919,0.144,"other psy","cau","USA","H",NA,NA,"52","ind","us",4,"dep"
"731","Nyström, 2017","Nyström_2017_msd_phq-9_post_0_self-report_bat_wl_bat(i-ba-l)_wl",0.973,0.197,"bat","wl","Sweden","H","bat (i-ba-l)","wl","0","gsh","eu",4,"dep"
"732","Nyström, 2017","Nyström_2017_msd_phq-9_post_0_self-report_bat_wl_bat(i-ba-m)_wl",0.649,0.203,"bat","wl","Sweden","H","bat (i-ba-m)","wl","0","gsh","eu",4,"dep"
"733","O'Hara, 2000","O'Hara_2000_remission(diag)_dsm-iv_post_NA_clinician_ipt_wl_NA_NA",1.493,0.293,"ipt","wl","USA","H",NA,NA,NA,"ind","us",2,"dep"
"734","O'Hara, 2000","O'Hara_2000_msd_hdrs_post_NA_clinician_ipt_wl_NA_NA",1.193,0.218,"ipt","wl","USA","H",NA,NA,NA,"ind","us",2,"dep"
"735","O'Hara, 2000","O'Hara_2000_response(50%)_bdi-1_post_NA_self-report_ipt_wl_NA_NA",1.151,0.267,"ipt","wl","USA","H",NA,NA,NA,"ind","us",3,"dep"
"736","O'Hara, 2000","O'Hara_2000_response(50%)_hdrs_post_NA_clinician_ipt_wl_NA_NA",1.122,0.261,"ipt","wl","USA","H",NA,NA,NA,"ind","us",2,"dep"
"737","O'Hara, 2000","O'Hara_2000_msd_bdi-1_post_NA_self-report_ipt_wl_NA_NA",1.089,0.216,"ipt","wl","USA","H",NA,NA,NA,"ind","us",3,"dep"
"738","O'Hara, 2000","O'Hara_2000_remission(cut-off)_bdi-1_post_NA_self-report_ipt_wl_NA_NA",0.558,0.235,"ipt","wl","USA","H",NA,NA,NA,"ind","us",3,"dep"
"739","O'Hara, 2000","O'Hara_2000_remission(cut-off)_hdrs_post_NA_clinician_ipt_wl_NA_NA",0.529,0.251,"ipt","wl","USA","H",NA,NA,NA,"ind","us",2,"dep"
"740","O'Mahen, 2013a","O'Mahen_2013a_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA",3.661,0.446,"cbt","cau","United Kingdom","H",NA,NA,NA,"ind","uk",4,"dep"
"741","O'Mahen, 2013a","O'Mahen_2013a_otherdich(RCI)_bdi-ii_post_NA_self-report_cbt_cau_NA_NA",0.71,0.636,"cbt","cau","United Kingdom","H",NA,NA,NA,"ind","uk",4,"dep"
"742","O'Moore, 2018","O'Moore_2018_msd_phq-9_post_NA_self-report_cbt_cau_NA_NA",1.007,0.274,"cbt","cau","Australia","H",NA,NA,NA,"gsh","au",3,"dep"
"743","O'Neil, 2014","O'Neil_2014_msd_phq-9_post_NA_self-report_cbt_cau_NA_NA",0.352,0.183,"cbt","cau","Australia","H",NA,NA,NA,"tel","au",4,"dep"
"744","O'Neil, 2014","O'Neil_2014_msd_cds_post_NA_self-report_cbt_cau_NA_NA",-0.12,0.182,"cbt","cau","Australia","H",NA,NA,NA,"tel","au",4,"dep"
"745","Oehler, 2020","Oehler_2020_msd_ids-sr_post_6_self-report_cbt_otherctr_NA_NA",0.233,0.124,"cbt","other ctr","Germany","H",NA,NA,"6","gsh","eu",3,"dep"
"746","Oehler, 2020","Oehler_2020_msd_phq-9_post_6_self-report_cbt_otherctr_NA_NA",0.135,0.124,"cbt","other ctr","Germany","H",NA,NA,"6","gsh","eu",3,"dep"
"747","Olukolade, 2017","Olukolade_2017_msd_bdi-2_post_0_self-report_cbt_wl_cbt(cognitiverehabilitation)_wl",1.952,0.551,"cbt","wl","Nigeria","LM","cbt (cognitive rehabilitation)","wl","0","ind","oth",2,"dep"
"748","Olukolade, 2017","Olukolade_2017_msd_bdi-2_post_0_self-report_otherpsy_wl_otherpsy(psychoeducation)_wl",-0.144,0.448,"other psy","wl","Nigeria","LM","other psy (psychoeducation)","wl","0","ind","oth",2,"dep"
"749","Omidi, 2013","Omidi_2013_msd_bsi-d_post_NA_self-report_cbt_cau_cbt(cbt)_cau",1.633,0.299,"cbt","cau","Iran","UM","cbt (cbt)","cau",NA,"grp","oth",1,"dep"
"750","Omidi, 2013","Omidi_2013_msd_bsi-d_post_NA_self-report_3rd_cau_3rdwave(mcbt)_cau",1.532,0.295,"3rd","cau","Iran","UM","3rd wave (mcbt)","cau",NA,"grp","oth",1,"dep"
"751","Onuigbo, 2019","Onuigbo_2019_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA",1.736,0.292,"cbt","cau","Nigeria","LM",NA,NA,NA,"grp","oth",4,"dep"
