study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Kip, 2013",TF-Other,Other,,,precalc_g_from_va,PCL,itt,post,2,self-report,,,,,,,57.4,15,29,56.4,15.7,28,,,,,,1.245,0.291,Accelerated Resolution Therapy (ART),Fitness/career assessment and planning,TF-Other,TF-Other,TF-Other,29,28,57,Trauma-focused,"Intervention involves imaginal exposure where participants were asked to recall the traumatic event while focusing on physiological sensations, thoughts, and emotions while engaging in clinician-directed eye movements. Second phase is imagery rescripting where participant is instructed to visualize their traumatic scene and imagine changing the imagery and sensory components of the scene to anything they choose",60 to 75 minutes,,2 to 5 sessions total,Individual,In Person,TF-Other,Psychotherapy,,,3.6,1.1,,Mixed,0,41.4,U.S.,0.193,Mixed,"MST, combat-related, community/school violence",Low,Some Concerns,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,ANCOVA for change in mean scores,Change,1.245,0.291,A,B,2019,Kip_2013_precalcfromVA_PCL_post_2.00_self-report_TF-Other_Other_NA_NA,88001,kip2013,,,,,,,,,,,,,,,"Kip KE, Rosenzweig L, Hernandez DF, et al. Randomized controlled trial of Accelerated Resolution Therapy (ART) for symptoms of combat-related post-traumatic stress disorder (PTSD). Mil Med. 2013 Dec;178(12):1298-309. doi: 10.7205/MILMED-D-13-00298. PMID: 24306011."
"Knaevelsrud, 2015",Other non-trauma-focused,Waitlist,,,msd,PDS,itt,post,5,self-report,20.29,12.45,79,30.17,8.7,80,30.35,8.16,79,30.65,8.1,80,,,,,,0.916533384,0.1668091834,Internet-based facilitated self-help,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,79,80,159,,"A Dutch Internet-based CBT manual translated into Arabic and culturally adapted. Interapy consists of writing activities that include self-confrontation with traumatic event, cognitive restructuring, and social sharing. Therapists provided individually written feedback and instructions on writing assignments",45 minutes,Twice weekly,,Individual,Technology Assisted,Other non-trauma-focused,Other study class,,,,,,Community,1,28.1,"Germany, Iraq",0.7233,Mixed,"terrorism/political violence/forced displacement, rape/sexual assault, community/school violence",Low,Some Concerns,Some Concerns,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,"ANOVA, chi-squared test",Follow-up,0.917,0.167,A,B,2019,Knaevelsrud_2015_precalcfromVA_PDS_post_5.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,46782,knaevelsrud2015,,,,,,,27,79,4,80,1.922121287091298,0.511740959069074,2.289032126589342,0.5651775836006311,"Knaevelsrud C, Brand J, Lange A, et al. Web-based psychotherapy for posttraumatic stress disorder in war-traumatized Arab patients: randomized controlled trial. J Med Internet Res. 2015 Mar 20;17(3):e71. doi: 10.2196/jmir.3582. PMID: 25799024."
"Knaevelsrud, 2017",Other non-trauma-focused,Waitlist,,,msd,PDS,itt,post,6,self-report,15.19,8.644,41,19.02,8.889,44,22.75,8.844,47,21.87,8.844,47,,,,,,0.4326700101,0.2196336693,Internet-based facilitated self-help,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,47,47,94,,"Internet-based structured CBT with writing assignments that focused on resource-oriented biographical reconstruction, moderated exposure, and cognitive reconstruction. Therapists provided feedback and instructions based on a disordered-specific CBT manual.",45 minutes,Twice weekly,,Individual,Technology Assisted,Other non-trauma-focused,Other study class,,,,,,Community,1,71.4,Germany,0.6489,Terrorism/political violence/forced displacement,NR,Low,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Linear mixed-effects and Cohen's d for change in mean score,Follow-up,0.433,0.22,A,B,2019,Knaevelsrud_2017_precalcfromVA_PDS_post_6.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,47282,knaevelsrud2017,,,,,,,14,41,8,44,0.6302333551493761,0.3864078865640033,0.8472978603872037,0.5111197376773726,"Knaevelsrud C, Böttche M, Pietrzak RH, et al. Efficacy and feasibility of a therapist-guided internet-based intervention for older persons with childhood traumatization: a randomized controlled trial. Am J Geriatr Psychiatry. 2017 Aug;25(8):878-88. doi: 10.1016/j.jagp.2017.02.024. PMID: 28365000."
"Koch, 2020",Other non-trauma-focused,Waitlist,,,msd,PCL,itt,post,14,self-report,38.53,13.09,15,46,14.664,21,48.49,11.163,22,42.47,10.84,22,,,,,,0.5203289768,0.3438297379,Skills Training in Affect and Interpersonal Regulation (STAIR),Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,22,22,44,Non-Trauma-focused,"A manualized group treatment of refugees aiming to improve emotional understanding, clarity, and expression on the one hand and adaptive emotion regulation on the other hand; consists of 4 modules: training of emotional clarity; training of specific emotion regulation strategies; management of specific emotions; consolidation.",90 minutes,Weekly,,Group,In Person,Other non-trauma-focused,Psychotherapy,Completed treatment,0.682,11.27,,"among treatment completers


Range, 7-14",Community,1,18.39,Germany,0,Mixed,"Combat-related, Terrorism/political violence/forced displacement, Community/school violence, Accidents, Other (""being close to death"", ""lack of shelter"", ""lack of food and water"")",Low,Low,Low,High,Low,High,1,A vs B,2022,B,ps-ct,Self report,Linear mixed modeling,Follow-up,0.52,0.34,A,B,2022,Koch_2020_precalcfromVA_PCL_post_14.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,1556201,koch2020,,,,,,,2,15,1,21,1.029619417181158,1.177163661397295,1.1239300966524,1.275508948194044,"Koch T, Ehring T, Liedl A. Effectiveness of a transdiagnostic group intervention to enhance emotion regulation in young Afghan refugees: A pilot randomized controlled study. Behav Res Ther. 2020 Jun 27;132:103689. doi: 10.1016/j.brat.2020.103689. Epub ahead of print. PMID: 32688046."
"Koochaki, 2018",CBT without trauma focus,TAU,,,msd,PSS,completer,post,,self-report,4.547,2.297,42,6.564,4.29,39,8.095,5.202,42,6.82,4.297,39,,,,,,0.5868019283,0.2271940923,Cognitive behavioral therapy (CBT) without a trauma focus,PTSD educational packet + routine care counseling,Non-trauma-focused,CBT without trauma focus,NTF-CBT,45,45,90,Non-Trauma-focused,"CBT for PTSD: 6 group sessions covering topics such as psychological aspects of feelings and thoughts, signs of stress and coping techniques, and problem-solving skills.


Routine care counseling: 8 group sessions covering routine infant care.",40 to 60 minutes,CBT for PTSD: NR; Routine care counseling: twice a week,total 6 sessions of CBT plus 8 sessions of routine care counseling,Group,In Person,CBT without trauma focus,Psychotherapy,attend all sessions,0.9333,,,,NR,,23.37,Iran,1,Illness/medical procedure,NR,Some Concerns,High,Low,Some Concerns,Low,High,1,A vs B,2020,B,ps-ct,Self report,Generalized estimating equation,Follow-up,0.587,0.227,A,B,2020,Koochaki_2018_precalcfromVA_PSS_post_NA_self-report_CBTwithouttraumafocus_TAU_NA_NA,1547364,koochaki2018,,,,,,,17,42,9,39,0.5618807945662748,0.347108183528315,0.8183103235139515,0.4932220330198248,"Koochaki M, Mahmoodi Z, Esmaelzadeh–Saeieh S, et al. Effects of cognitive-behavioral counseling on posttraumatic stress disorder in mothers with infants hospitalized at neonatal intensive care units: a randomized controlled trial. Iran J Psychiatry Behav Sci. 2018;12(4):e65159. doi: 10.5812/ijpbs.65159."
"Krakow, 2000",TF-CBT,Waitlist,,,msd,PSS,completer,post,6,self-report,15,10.29,39,25.71,12.64,41,27.6,10.64,43,29.19,12.09,48,,,,,,0.9179317542,0.2353733209,Imagery Rehearsal Training (IRT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,87,82,169,Trauma-focused,"Manual-based cognitive-imagery approach where participants practice pleasant imagery exercise, learn about cognitive-behavioral tools to deal with unpleasant images, and use imagery-rehearsal technique on a single nightmare. Participants rehearse a new dream daily","Two 3-hour sessions, one 1-hour followup session","First 2 sessions weekly, then followup 3 weeks later",,Individual,In Person,TF-CBT,Psychotherapy,,,,,,Community,1,37.02,U.S.,1,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters",Some Concerns,High,High,High,Low,High,1,A vs B,2020,B,ps-ct,Self report,Random effects regression using SAS PROC MIXED for change in mean score,Follow-up,0.918,0.236,A,B,2020,Krakow_2000_precalcfromVA_PSS_post_6.00_self-report_TF-CBT_Waitlist_NA_NA,15539,krakow2000,,,,,,,18,39,8,41,0.8609406367909902,0.3612814498588198,1.262915339959386,0.5084069565590478,"Krakow BJ, Hollifield M, Schrader R, et al. A controlled study of imagery rehearsal for chronic nightmares in sexual assault survivors with PTSD: a preliminary report. Journal of Traumatic Stress. 2000 Oct;13(4):589-609. doi: 10.1023/A:1007854015481. PMID: 11109233."
"Krupnick, 2008",Other non-trauma-focused,Waitlist,,,precalc_g_from_va,CAPS,itt,post,,clinician,,,,,,,65.16,20.92,32,62.64,16.57,16,,,,,,1.143,0.47,Interpersonal Psychotherapy (IPT),Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,32,16,48,Non-Trauma-focused,"Intervention adapted into group format that begins with developing group cohesion, addressing relationship disputes, social deficits, role transitions, and relationship losses. Last 3 sessions focus on anticipating future problems and identifying relationship triggers that could reactivate PTSD symptoms",2 hours,,16 sessions total,Group,In Person,Other non-trauma-focused,Psychotherapy,,,,,,Community,1,32,U.S.,1,Mixed,"child physical abuse, child sexual abuse, other (interpersonal trauma)",Some Concerns,Low,High,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,"Mixed linear regression for change  in mean score, chi-square test for diagnostic change",Change,1.143,0.47,A,B,2019,Krupnick_2008_precalcfromVA_CAPS_post_NA_clinician_Othernon-trauma-focused_Waitlist_NA_NA,32335,krupnick2008,,,,,,,,,,,,,,,"Krupnick JL, Green BL, Stockton P, et al. Group interpersonal psychotherapy for low-income women with posttraumatic stress disorder. Psychother Res. 2008 Sep;18(5):497-507. doi: 10.1080/10503300802183678. PMID: 18816001."
"Krupnick, 2017",Other non-trauma-focused,TAU,,,msd,PCL,itt,post,,self-report,3.58,0.4,6,3.91,0.4,12,3.6,0.3,16,3.9,0.4,15,,,,,,0.7857142857,0.5185617128,Internet-based facilitated self-help,Treatment as usual (TAU),Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,18,16,34,,Adjunct writing exercises through an online portal using principles of prolonged exposure and cognitive therapy. Therapist provides general response and specific instructions for subsequent writing session.,,,,Individual,Technology Assisted,Other non-trauma-focused,Other study class,,,,,,Veteran,0,40.25,U.S.,0.0882,Mixed,"MST, combat-related",High,Low,High,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Cohen's d for change in mean score,Follow-up,0.786,0.521,A,B,2019,Krupnick_2017_precalcfromVA_PCL_post_NA_self-report_Othernon-trauma-focused_TAU_NA_NA,45679,krupnick2017,,,,,,,0,6,0,12,,Inf,,Inf,"Krupnick JL, Green BL, Amdur RL, et al. An internet-based writing intervention for PTSD in veterans: a feasibility and pilot effectiveness trial. Psychol Trauma. 2017 Jul;9(4):461-70. doi: 10.1037/tra0000176. PMID: 27607767."
"Kubany, 2004",TF-CBT,Waitlist,,,msd,CAPS,itt,post,,clinician,33.3,32.8,63,74.1,21.9,62,74.4,19.9,63,78,20.5,62,,,,,,1.451810051,0.2013381146,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,46,40,107,Trauma-focused,"Therapy components include trauma history exploration, psychoeducation regarding exposure technique, solution-oriented attitude, coping strategies, cognitive therapy for trauma-related guilt, training on self-advocacy and empowerment",1.5 hours (median),Twice weekly,,Individual,In Person,TF-CBT,Psychotherapy,Completed all sessions,0.77,9.5,1.6,Completers only,NR,,43.6,U.S.,1,Intimate partner violence,NR,Some Concerns,Low,High,Low,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,ANOVA with Bonferroni correction; effect size as difference between group means divided by the standard deviation for the delayed therapy condition (Intervention B),Follow-up,1.452,0.202,A,B,2019,Kubany_2004_precalcfromVA_CAPS_post_NA_clinician_TF-CBT_Waitlist_NA_NA,26300,kubany2004,,,,,,,34,63,3,62,2.411747894601611,0.5751026429326641,3.137989849867297,0.6435658545963096,"Kubany ES, Hill EE, Owens JA, et al. Cognitive trauma therapy for battered women with PTSD (CTT-BW). J Consult Clin Psychol. 2004 Feb;72(1):3-18. doi: 10.1037/0022-006x.72.1.3. PMID: 14756610."
"Latif, 2021",TF-CBT,Waitlist,,,msd,IES,itt,post,12,self-report,11.4,1.5,25,16.3,3.4,25,35.8,1.5,25,35,1.6,25,,,,,,1.835433781,0.3387800236,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,25,25,50,Trauma-focused,"Self-help facilitated by research assistants (psychologists) using a culturally sensitive self-help manual for victims of trauma (BASID Ki Kahani). The manual focuses on psychoeducation, symptom management, graded exposure, cognitive restructuring, behavioural activation, problem-solving, improving relationships and communication skills; includes stories of victims of trauma and examples from local folklore and Islamic religion. Each session included 15-20 minute overview of the content of the corresponding chapter in the manual.",,,9 sessions over 12 weeks,Individual,In Person,TF-CBT,Psychotherapy,Attending ≥6 of 9 sessions,0.92,,,"20 attended 9 sessions, 3 attended 6 to 9 sessions, and 2 attended 3 to 6 sessions",Community,1,26.9,Pakistan,1,Intimate partner violence,,Some Concerns,Low,Low,High,Low,High,1,A vs B,2022,B,ps-ct,Self report,ANCOVA,Adjusted MD,2.113,0.36,A,B,2022,Latif_2021_precalcfromVA_IES_post_12.00_self-report_TF-CBT_Waitlist_NA_NA,1559302,latif2021,,,,,,,25,25,16,25,0.4462871026284195,0.15,Inf,Inf,"Latif M, Husain MI, Gul M, et al. Culturally adapted trauma-focused CBT-based guided self-help (CatCBT GSH) for female victims of domestic violence in Pakistan: feasibility randomized controlled trial. Behav. 2021 Jan;49(1):50-61. doi: 10.1017/S1352465820000685. PMID: 32993831"
"Lehavot, 2021",Other non-trauma-focused,Other,,,msd,PCL,itt,post,8,self-report,32.1,14.9,43,36.4,13.6,48,45.8,10.6,51,45,11.7,51,,,,,,0.2996608602,0.2111657672,Internet-based facilitated self-help,Attention control,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,51,51,102,,Online coach-assisted cognitive behavioral intervention tailored for women Veterans. Participants were asked to log into the website twice a week for 8 weeks and complete homework assignments; coach called participants once a week and monitored participants' progress on website. Intervention sessions included: coping skills; cognitive strategies to identify and challenge thoughts; in vivo exposures; writing about stressful daily life events; writing about a traumatic experience; relapse prevention.,,Twice per week,"8 total weeks, could be completed over 12 weeks",Individual,Technology Assisted,Other non-trauma-focused,Other study class,At least 9 of 16 sessions,0.76,12.9,5.3,Number of coaching calls: mean 9.2 (SD 2.7),Veteran,0,49.4,U.S.,1,Mixed,"MST, Combat-related, Child physical abuse, Child sexual abuse, Rape/sexual assault, Community/school violence, Other (""other military"", ""other"" not specified)",Some Concerns,Low,Low,High,Low,High,1,A vs B,2022,B,ps-ct,Self report,Linear mixed-effects regression,Adjusted MD,0.311,0.21,A,B,2022,Lehavot_2021_precalcfromVA_PCL_post_8.00_self-report_Othernon-trauma-focused_Other_NA_NA,1566567,lehavot2021,,,,,,,12,43,7,48,0.6489973959470154,0.4267333229355946,0.8185813629518486,0.5318258968958208,"Lehavot K, Millard SP, Thomas RM, Yantsides K, Upham M, Beckman K, Hamilton AB, Sadler A, Litz B, Simpson T. A randomized trial of an online, coach-assisted self-management PTSD intervention tailored for women veterans. J Consult Clin Psychol. 2021 Feb;89(2):134-142. doi: 10.1037/ccp0000556. PMID: 33705169; PMCID: PMC8238393."
"Lewis, 2017",Other non-trauma-focused,Waitlist,,,msd,CAPS,itt,post,8,clinician,17.93,12.25,15,36.53,7.1,17,35.99,6.29,21,37.12,6.95,21,,,,,,1.841745394,0.4257551566,Internet-based facilitated self-help,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,21,21,42,,"Interactive online program and therapist guidance. Online program consisted of 8 modules covering psychoeducation, grounding, relaxation and anxiety management, behavioral reactivation, imaginal and in-vivo exposure, cognitive therapy, and relapse prevention. Therapist guidance (face-to-face or telephone) for support, monitoring, motivation, and problem-solving; brief check-ins between appointments.",Session length: therapist 30 minutes (initial appointment 1 hour),"Therapist guidance every 2 weeks, brief check-in weekly",,Individual,Technology Assisted,Other non-trauma-focused,Other study class,completed all 8 modules,,,,,Community,1,39.29,U.K.,0.595,Mixed,"accidents, illness/medical procedure, rape/sexual assault, terrorism/political violence/forced displacement, community/school violence",Low,Low,Some Concerns,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,Differences in means; standard regression adjustment for effect modification and random effects to account for intra-participant and intra-therapist measurement correlations,Follow-up,1.842,0.431,A,B,2019,Lewis_2017_precalcfromVA_CAPS_post_8.00_clinician_Othernon-trauma-focused_Waitlist_NA_NA,48301,lewis2017,,,,,,,8,15,0,17,Inf,Inf,Inf,Inf,"Lewis CE, Farewell D, Groves V, et al. Internet-based guided self-help for posttraumatic stress disorder (PTSD): randomized controlled trial. Depress Anxiety. 2017 Jun;34(6):555-65. doi: 10.1002/da.22645. PMID: 28557299."
"Lindauer, 2005",TF-Other,Waitlist,,,dich,SI-PTSD,itt,post,16,clinician,,,,,,,,,,,,,Diagnosis by SI-PTSD,10,9,12,12,0.2719214467,0.5634474617,Brief Eclectic Psychotherapy (BEP),Waitlist,TF-Other,TF-Other,TF-Other,12,12,24,Trauma-focused,"Following manual by Gersons et al. 2004, includes psychoeducation, imaginal exposure, writing tasks and memorabilia, meaning and integration, and farewell ritual",45 to 60 minutes,Weekly,,Individual,In Person,TF-Other,Psychotherapy,,,,,,Community,1,38.95,The Netherlands,0.5417,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (unspecified)",Low,High,High,Low,Low,High,1,A vs B,2020,,ps-ct,,,,0.2719214467,0.5634474617,A,,2020,Lindauer_2005_dich_SI-PTSD_post_16.00_NA_TF-Other_Waitlist_NA_NA,19181,lindauer2005,0.1053605157,0.2108185107,10,9,12,12,,,,,,,,,"Lindauer RJ, Gersons BP, van Meijel EP, et al. Effects of brief eclectic psychotherapy in patients with posttraumatic stress disorder: randomized clinical trial. Journal of traumatic stress. 2005 Jun;18(3):205-12. doi: 10.1002/jts.20029. PMID: 16281214."
"Maguen, 2017",TF-CBT,Waitlist,,,msd,PCL,completer,post,,self-report,41.3,11.2,15,50.7,10.6,15,48.6,14.5,17,52.9,11.3,16,,,,,,0.8387599845,0.3817317012,Impact of Killing,Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,17,16,33,Trauma-focused,"Cognitive-behavioral intervention incorporating self-forgiveness, existential, gestalt, and relational theories to reduce mental health symptoms and functional impairment associated with killing in a war.",60 to 90 minutes,Weekly,,Individual,In Person,TF-CBT,Psychotherapy,"Full participation in all content outlined in 6 sessions, completion of all between-session assignments, and completion of outcome measures",0.8824,,,,Veteran,,61.2,U.S.,0,Combat-related,NR,Some Concerns,High,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Linear regression model and paired t-tests for change in mean scores (omega-squared),Follow-up,0.839,0.383,A,B,2019,Maguen_2017_precalcfromVA_PCL_post_NA_self-report_TF-CBT_Waitlist_NA_NA,47285,maguen2017,,,,,,,1,15,0,15,Inf,Inf,Inf,Inf,"Maguen S, Burkman KM, Madden E, et al. Impact of killing in war: a randomized, controlled pilot trial. J Clin Psychol. 2017 Sep;73(9):997-1012. doi: 10.1002/jclp.22471. PMID: 28294318."
"Margolies, 2013",Mixed psychotherapy,Waitlist,,,msd,PSS-SR,completer,post,6,self-report,39.8,11.4,15,47.1,9.7,12,41.8,14.2,15,33.5,13.7,12,,,,,,0.6624745584,0.3983003394,Cognitive Behavioral Therapy for Insomnia (CBT-I) + Imagery Rehearsal Training (IRT),Waitlist,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,20,20,40,Non-Trauma-focused,"Treatment includes CBT-I following Morin & Epsie 2003 protocol, imaginal rehearsal of new dream, and stimulus control following Bootzin & Epstine 2000.",60 minutes,Weekly,4 sessions,Individual,In Person,Mixed psychotherapy,Psychotherapy,,,,,,Veteran,0,37.77,U.S.,0.1,NR,NR,Some Concerns,Some Concerns,High,High,Low,High,1,A vs B,2020,B,ps-ct,Self report,Repeated measures ANOVA for change in mean score,Follow-up,0.662,0.399,A,B,2020,Margolies_2013_precalcfromVA_PSS-SR_post_6.00_self-report_Mixedpsychotherapy_Waitlist_NA_NA,40515,margolies2013,,,,,,,1,15,0,12,Inf,Inf,Inf,Inf,"Margolies SO, Rybarczyk B, Vrana SR, et al. Efficacy of a cognitive-behavioral treatment for insomnia and nightmares in Afghanistan and Iraq veterans with PTSD. Journal of Clinical Psychology. 2013 Oct;69(10):1026-42. doi: 10.1002/jclp.21970. PMID: 23629959."
"McDonagh, 2005",TF-CBT,Waitlist,Trauma-focused cognitive behavioral therapy (TF-CBT) A,Waitlist,msd,CAPS,itt,post,,clinician,53.1,28.8,29,65.5,18.6,23,69.9,16.8,29,72,17.6,23,,,,,,0.4917955643,0.2834755032,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,29,23,74,Trauma-focused,"Manualized, modified version of treatment developed by Foa et al., 1999; primary components of prolonged exposure, in vivo exposure, and cognitive restructuring; additional components included psychoeducation, breathing retraining, and homework.",1.5 to 2 hours,Approximately once a week,14 sessions total,Individual,In Person,TF-CBT,Psychotherapy,completed treatment course,0.5862,,,,Community,1,40.4,U.S.,1,Child sexual abuse,NR,Some Concerns,Low,High,Low,Low,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Follow-up,0.492,0.284,A,C,2019,McDonagh_2005_precalcfromVA_CAPS_post_NA_clinician_TF-CBT_Waitlist_Trauma-focusedcognitivebehavioraltherapy(TF-CBT)A_Waitlist,27712,mcdonagh2005,,,,,,,8,29,1,23,1.847639927622512,1.02324922697735,2.125961557314729,1.103663713761394,"McDonagh A, Friedman MJ, McHugo GJ, et al. Randomized trial of cognitive-behavioral therapy for chronic posttraumatic stress disorder in adult female survivors of childhood sexual abuse. J Consult Clin Psychol. 2005 Jun;73(3):515-24. doi: 10.1037/0022-006X.73.3.515. PMID: 15982149."
"McDonagh, 2005",Other non-trauma-focused,Waitlist,Present-Centered Therapy (PCT) B,Waitlist,msd,CAPS,itt,post,,clinician,47.2,22.4,22,65.5,18.6,23,67.7,14.6,22,72,17.6,23,,,,,,0.8751513082,0.3126488946,Present-Centered Therapy (PCT),Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,22,23,74,Non-Trauma-focused,"Manualized, collaborative therapeutic intervention with focus on here-and-now problem-solving; main elements include psychoeducation, training in problem solving, and journal writing.",1.5 to 2 hours,approximately once a week,14 sessions total,Individual,In Person,Other non-trauma-focused,Psychotherapy,completed treatment course,0.9091,,,,Community,1,40.4,U.S.,1,Child sexual abuse,NR,Some Concerns,Low,High,Low,Low,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Follow-up,0.875,0.313,B,C,2019,McDonagh_2005_precalcfromVA_CAPS_post_NA_clinician_Othernon-trauma-focused_Waitlist_Present-CenteredTherapy(PCT)B_Waitlist,27712,mcdonagh2005,,,,,,,6,22,1,23,1.836211231798889,1.03813961505308,2.110213200346589,1.128991236512141,"McDonagh A, Friedman MJ, McHugo GJ, et al. Randomized trial of cognitive-behavioral therapy for chronic posttraumatic stress disorder in adult female survivors of childhood sexual abuse. J Consult Clin Psychol. 2005 Jun;73(3):515-24. doi: 10.1037/0022-006X.73.3.515. PMID: 15982149."
"McGeary, 2022",CBT without trauma focus,TAU,Cognitive behavioral therapy for headache (CBTH) A,Treatment as usual (TAU),msd,PCL,itt,post,8,self-report,36.5,19.7,33,41.6,17.1,48,47.7,14.7,65,49,13.3,64,,,,,,0.2775818375,0.2272029532,Cognitive behavioral therapy for headache (CBTH),Treatment as usual (TAU),Non-trauma-focused,CBT without trauma focus,NTF-CBT,65,64,193,Non-Trauma-focused,"Cogntive behavioral therapy focused exclusively on headache and stress; used behavioral interventions, stress management, and cognitive therapy.",1 hour,Once or twice a week,"8 weekly or bi-weekly sessions, 4-8 weeks total",Individual,In Person,CBT without trauma focus,Psychotherapy,6 ore more sessions,0.6,,,,Mixed,0,39.7,U.S.,0.1347,NR,NR,Low,Low,Low,High,Low,High,1,A vs C,2023,C,ps-ps-ct,Self report,Generalized linear mixed models,Adjusted MD,0.395,0.228,A,C,2023,McGeary_2022_precalcfromVA_PCL_post_8.00_self-report_CBTwithouttraumafocus_TAU_Cognitivebehavioraltherapyforheadache(CBTH)A_Treatmentasusual(TAU),1595720,mcgeary2022,,,,,,,9,33,8,48,0.4924764850977941,0.4300869068859774,0.6286086594223741,0.5502524673073059,"McGeary DD, Resick PA, Penzien DB, et al. Cognitive behavioral therapy for veterans with comorbid posttraumatic headache and posttraumatic stress disorder symptoms: a randomized clinical trial. JAMA Neurol. 2022;79(8):746-57. doi: 10.1001/jamaneurol.2022.1567. PMID: 35759281."
"McGeary, 2022",TF-Cognitive Therapy,TAU,Cognitive Processing Therapy (CPT) B,Treatment as usual (TAU),msd,PCL,itt,post,6,self-report,30,20.9,23,41.6,17.1,48,48.6,14.6,64,49,13.3,64,,,,,,0.6236581014,0.2590587361,Cognitive Processing Therapy (CPT),Treatment as usual (TAU),TF-CBT,Primarily cognitive,TF-CT,64,64,193,Trauma-focused,Manualized PTSD intervention; emphasized cognitive therapy and focused on PTSD only.,1 hour,Twice a week,Erronously reported as 12-hour sessions over 6 weeks,Individual,In Person,TF-Cognitive Therapy,Psychotherapy,9 or more sessions,0.42,,,,Mixed,0,39.7,U.S.,0.1347,NR,NR,Low,Low,Low,High,Low,High,1,B vs C,2023,C,ps-ps-ct,Self report,Generalized linear mixed models,Adjusted MD,0.87,0.264,B,C,2023,McGeary_2022_precalcfromVA_PCL_post_6.00_self-report_TF-CognitiveTherapy_TAU_CognitiveProcessingTherapy(CPT)B_Treatmentasusual(TAU),1595720,mcgeary2022,,,,,,,9,23,8,48,0.8534898306351247,0.4144870527630659,1.167605160155061,0.5766625378327281,"McGeary DD, Resick PA, Penzien DB, et al. Cognitive behavioral therapy for veterans with comorbid posttraumatic headache and posttraumatic stress disorder symptoms: a randomized clinical trial. JAMA Neurol. 2022;79(8):746-57. doi: 10.1001/jamaneurol.2022.1567. PMID: 35759281."
